method,n,S_color,dE_improve
ours_flux_plain,16,3.807773940200053,3.587518740209803
ours_flux_texture,16,9.816965289971947,9.7422773730957
ours_sd3_plain,16,8.717490312053211,8.270820075795623
ours_sd3_texture,16,12.051603787273343,11.358481189823252
