method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
ours_flux,Ours (FLUX),405,405,405,405,0.29848514714358765,0.057807510686509404,0.25053027523911475,0.24837110189743983,0.2997997722140065,0.06179453443597864,0.8308445609646079,0.6944291043796657,0.9978623241554072,0.13878940706497725,0.0129974739549877,0.010599190253695405,0.039381661514441176,0.07754252692339597,0.008933379780788573,0.008629769709516018,0.8708765463856052,0.9723795904053583,0.43846706814236114,0.5064046223958333,0.49359537760416666
ours_sd3,Ours (SD3),405,405,405,405,0.30361372872635173,0.061212131013104944,0.2445918292221096,0.2416841776282699,0.3013456035543371,0.06231622287520656,0.8239677722807284,0.7204120960868435,0.9949720996397513,0.16905179367757137,0.02049085172834622,0.017966456115669802,0.051139508150977855,0.09863879600148878,0.015622053157400203,0.015368909294498556,0.8210792437702341,0.9316450662083096,0.43846706814236114,0.5064046223958333,0.49359537760416666
