method,method_display,seed,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
ours_flux,Ours (FLUX),10,135,135,135,135,0.2990922705994712,0.058874003644342775,0.2489150287307523,0.2481400351833414,0.30033505514816,0.06286106805006662,0.8280153614503366,0.6907551671067874,0.9964578575558133,0.14581417083326315,0.018461970140924676,0.01451101626487259,0.04436977020016423,0.0814727286911673,0.015131916198879481,0.014612020546984341,0.8535648596153318,0.9503066632482741,0.43846706814236114,0.5064046223958333,0.49359537760416666
ours_flux,Ours (FLUX),11,135,135,135,135,0.2974062538809247,0.05697169226628763,0.25025093032185125,0.24798336724440256,0.2989445696274439,0.06104887558354272,0.8328312732555249,0.6965212071935336,0.998496965567271,0.13519653175716048,0.010297120514722471,0.008644457899639814,0.036898105108627566,0.07559566169425293,0.005843055964861479,0.005638341908343137,0.8795702366130811,0.9834116472138299,0.43846706814236114,0.5064046223958333,0.49359537760416666
ours_flux,Ours (FLUX),12,135,135,135,135,0.29895691695036714,0.05757683614889781,0.2524248666647408,0.24898990326457554,0.3001196918664155,0.06147365967432658,0.8316870481879622,0.6960109388386762,0.9986321493431374,0.13535751860450815,0.010233331209315953,0.008642096596573808,0.03687710923453172,0.07555919038476767,0.005825167178624758,0.005638946673220575,0.8794945429284027,0.9834204607539707,0.43846706814236114,0.5064046223958333,0.49359537760416666
ours_sd3,Ours (SD3),10,135,135,135,135,0.30385661478395815,0.061709072744404826,0.24509336843534751,0.24204063691474773,0.30159920012509384,0.0627715899988457,0.8229607122915762,0.7180063667120757,0.9949638234244452,0.17026461161397122,0.020540353780207053,0.01800450340185004,0.05134145814787459,0.09956015142853614,0.015604582735923704,0.015349302478824501,0.8202587803391772,0.9316309818515072,0.43846706814236114,0.5064046223958333,0.49359537760416666
ours_sd3,Ours (SD3),11,135,135,135,135,0.3044544185753222,0.06194820580659089,0.24657284853359063,0.24223666930640186,0.30230158810262325,0.0630504302404545,0.8234283663608409,0.7184653048162107,0.9949787475444652,0.1693267575568623,0.020480801862086756,0.017951757367915922,0.05124108576112323,0.09862876167451894,0.015633157040509913,0.015380308083775971,0.8206623542822987,0.9316523375334563,0.43846706814236114,0.5064046223958333,0.49359537760416666
ours_sd3,Ours (SD3),12,135,135,135,135,0.30253015281977474,0.059979114488319114,0.2421092706973906,0.2407752266636601,0.30013602243529425,0.061126648386319475,0.8255142381897679,0.7247646167322441,0.9949737279503433,0.1675640118618806,0.020451399542744858,0.01794310757724344,0.05083598054393574,0.09772747490141127,0.015628419695766987,0.015377117320895195,0.8223165966892263,0.9316518792399654,0.43846706814236114,0.5064046223958333,0.49359537760416666
