method,method_display,seed_n,case_n_per_seed,local_clip_t_seedmean,local_clip_t_seedstd,clip_direction_similarity_seedmean,clip_direction_similarity_seedstd,dino_source_similarity_seedmean,dino_source_similarity_seedstd,bg_lpips_seedmean,bg_lpips_seedstd,bg_l1_seedmean,bg_l1_seedstd,source_l1_seedmean,source_l1_seedstd,outside_l1_seedmean,outside_l1_seedstd,bg_ssim_luma_seedmean,bg_ssim_luma_seedstd
ours_flux,Ours (FLUX),3,135,0.24901779985722203,0.0006994524518887947,0.27192262282572044,0.0012444587700600463,0.6986992883277527,0.0013165396470356718,0.008058592602686042,7.632862453144758e-06,0.004178079458767043,2.9791641863428253e-06,0.03644615102467346,2.857652030274857e-05,0.004346425562556603,1.4526115486671964e-05,0.9913352698455622,6.159341311066001e-05
ours_sd3,Ours (SD3),3,135,0.24096490531056014,0.0004926499813976592,0.269638608980142,0.00024285417326435382,0.7308099222036056,0.00039216062084024945,0.005150977781899942,1.0544110182927528e-05,0.002820597755877922,1.0543978862603201e-05,0.03986999751471076,2.9881130517013403e-05,0.0029266863191115128,9.49505071277235e-06,0.993942379804305,7.01215310152556e-06
