method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t_mean,clip_t_std,clip_target_minus_source_mean,clip_target_minus_source_std,clip_direction_similarity_mean,clip_direction_similarity_std,local_clip_t_mean,local_clip_t_std,local_clip_t_full_prompt_mean,local_clip_t_full_prompt_std,local_clip_target_minus_source_mean,local_clip_target_minus_source_std,clip_image_source_similarity_mean,clip_image_source_similarity_std,dino_source_similarity_mean,dino_source_similarity_std,bg_dino_source_mean,bg_dino_source_std,lpips_full_mean,lpips_full_std,lpips_outside_mean,lpips_outside_std,bg_lpips_mean,bg_lpips_std,source_l1_mean,source_l1_std,inside_l1_mean,inside_l1_std,outside_l1_mean,outside_l1_std,bg_l1_mean,bg_l1_std,source_ssim_luma_mean,source_ssim_luma_std,bg_ssim_luma_mean,bg_ssim_luma_std,eval_mask_area_mean,eval_mask_area_std,dilated_edit_mask_area_mean,dilated_edit_mask_area_std,bg_mask_area_mean,bg_mask_area_std
ours_flux,Ours (FLUX),405,405,405,405,0.2905826225692843,0.04550924413256639,0.051329811855598734,0.0533206480647969,0.27192262282572044,0.14038728636684103,0.249017799857222,0.04218289555913062,0.2902689782925594,0.046132583011865985,0.054920727106524105,0.055370110121353955,0.8293604248835716,0.11110399653956914,0.6986992883277529,0.3302225591414076,0.9987344534308822,0.007439160669035327,0.1366465960042896,0.10158011328385214,0.009567306402324768,0.020269736154856784,0.008058592602686043,0.017875421803285156,0.036446151024673454,0.025060187776898443,0.07691025012575183,0.04152332241735752,0.004346425562556603,0.0076804613813571095,0.004178079458767042,0.007915236680808582,0.8870629311397922,0.0867078702814764,0.9913352698455622,0.023270723801469495,0.43846706814236114,0.24397230213740395,0.5064046223958333,0.2498946728186899,0.49359537760416666,0.2498946728186899
ours_sd3,Ours (SD3),405,405,405,405,0.2982279030997076,0.05152649779963031,0.056803994451040105,0.06017987012913141,0.269638608980142,0.1499421100328561,0.24096490531056017,0.04736290005339291,0.2965705855025185,0.05304250154318721,0.057740507192081875,0.061474390337716976,0.8331108770988606,0.11895809741619888,0.7308099222036055,0.27382130438856783,0.9985351890693476,0.008554592472948402,0.14518485654283453,0.08988622952928788,0.005978149882902932,0.017498986750446883,0.005150977781899942,0.015323499091992857,0.03986999751471075,0.02915356093766809,0.08776375735063612,0.0381132542162952,0.0029266863191115128,0.005964206239655237,0.002820597755877922,0.006164208351511383,0.8719728145116871,0.08738378728767912,0.9939423798043051,0.020998895548728004,0.43846706814236114,0.24397230213740395,0.5064046223958333,0.2498946728186899,0.49359537760416666,0.2498946728186899
