method,n,complete_n,fixed_mask_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_target_minus_source,bg_lpips,bg_l1,bg_dino_source,bg_ssim_luma,eval_mask_area,bg_mask_area
ours_flux,19,19,19,0.26024433029325383,0.008088918108689157,0.2194891004872165,0.21764239982554787,0.010158715279478776,0.012150347033687132,0.014038552726177793,0.9987949666224027,0.9372310889394659,0.35862892552425985,0.5760811253597862
ours_sd3,19,19,19,0.26497837116843775,0.010550520137736672,0.18255430852112017,0.21976673995193682,0.013683165374555085,0.023837218146869225,0.01745875010659036,0.9977891664755972,0.8981822603627255,0.35862892552425985,0.5760811253597862
