task,method,display,source_color,target_color,S_color,dE_improve
fe_019_brown_owl_1_white_owl,ours_sd3,Ours-SD3(texture),brown,white,1.2987838392564741,1.1805211958068185
fe_019_brown_owl_1_white_owl,otrf_enh_sd3,OT-RF enhanced-SD3,brown,white,1.7141240392663613,1.9593401970866609
fe_019_brown_owl_1_white_owl,drfs_sd3,DRFS-SD3,brown,white,1.4713267475744167,-0.006773125004187364
fe_019_brown_owl_1_white_owl,instruct_pix2pix,InstructPix2Pix,brown,white,19.71256895313117,20.310843411937007
fe_019_brown_owl_1_white_owl,ledits_pp,LEDITS++,brown,white,9.253310512907023,8.754185160874954
fe_025_bus_3_pink_van,reflex,ReFLEx,yellow,pink,11.83943651698461,4.375160454457102
fe_025_bus_3_pink_van,flowedit_flux,FlowEdit-FLUX,yellow,pink,13.118360541180998,6.251437199646887
fe_025_bus_3_pink_van,fireflow,FireFlow,yellow,pink,7.749706094991731,6.612741339539554
fe_025_bus_3_pink_van,ours_flux,Ours-FLUX(texture),yellow,pink,8.126361229541958,6.5368430402242765
fe_025_bus_3_pink_van,rf_solver_edit,RF-Solver-Edit,yellow,pink,6.980609354202713,4.3935817946433104
fe_025_bus_3_pink_van,flowedit_sd3,FlowEdit-SD3,yellow,pink,8.463569285502272,6.592763145051002
fe_025_bus_3_pink_van,splitflow_sd3,SplitFlow-SD3,yellow,pink,8.299427927072616,6.5590425087982425
fe_025_bus_3_pink_van,ours_sd3,Ours-SD3(texture),yellow,pink,13.641342663275761,14.503562237775988
fe_025_bus_3_pink_van,otrf_enh_sd3,OT-RF enhanced-SD3,yellow,pink,4.7071042552333875,5.161263538367081
fe_025_bus_3_pink_van,drfs_sd3,DRFS-SD3,yellow,pink,7.728484108379896,1.0400512921759457
fe_025_bus_3_pink_van,instruct_pix2pix,InstructPix2Pix,yellow,pink,24.72634795166563,21.411844079428583
fe_025_bus_3_pink_van,ledits_pp,LEDITS++,yellow,pink,16.863898318524278,12.263485230370762
