avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,bg_dilate_px,bg_dino_source,bg_l1,bg_lpips,bg_lpips_x100,bg_mask_area,bg_psnr,bg_ssim,bg_ssim_luma,clip_direction_similarity,clip_image_source_similarity,clip_source_score,clip_t,clip_target_minus_source,clip_target_score,complete,dilated_edit_mask_area,dino_source_similarity,edit_score,eval_mask_area,failure_flag,failure_note,family,family_label,fill_texture_ratio,final_mask_area,fixed_eval_mask_area,flowedit_idx,inside_blue_ratio,inside_l1,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,inside_texture_energy,local_clip_prompt,local_clip_source_score,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,local_clip_target_score,local_crop_box,lpips_full,lpips_outside,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_l1,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,ring_texture_energy,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,target_prompt,task
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9995757341384888,0.029812758788466454,0.015417813323438168,1.5417813323438168,0.37699127197265625,27.128175610869995,0.8870981931686401,0.8870981931686401,0.16304746270179749,0.9882473945617676,0.25854015350341797,0.24545599520206451,-0.013084158301353455,0.24545599520206451,True,0.6230087280273438,0.9075325131416321,-0.013084158301353455,0.5634307861328125,,,F4,T4_local_recolor,0.8770589331671564,0.0,0.5634307861328125,0,0.10483412322274882,0.048351358622312546,0.048351358622312546,23.310490113936645,0.06830861727625294,15.994016647338867,a black bear,0.25854015350341797,0.2107587456703186,0.24545599520206451,-0.013084158301353455,0.24545599520206451,"0,0,512,512",0.08327247202396393,0.019086219370365143,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux,Ours (FLUX),,0.03106384165585041,0.03106384165585041,26.788616097871728,0.04576876513618152,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_000_bear_1_black_bear/ours_flux/seed_10/result.png,18.235965728759766,fe_000_bear_1_black_bear/ours_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.04080416262149811,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",24.50564840965082,0.05952749120304888,0.8302602978271716,0.8302602978271716,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9993618130683899,0.0390278585255146,0.030443018302321434,3.0443018302321434,0.37699127197265625,24.93646008574142,0.7999146580696106,0.7999146580696106,0.10042297840118408,0.9766786098480225,0.2811564803123474,0.2658332884311676,-0.01532319188117981,0.2658332884311676,True,0.6230087280273438,0.896173894405365,-0.01532319188117981,0.5634307861328125,,,F4,T4_local_recolor,0.9316405821366107,0.0,0.5634307861328125,0,0.001990521327014218,0.06286059319972992,0.06286059319972992,20.689684119878386,0.09236677788746296,16.76070785522461,a black bear,0.2811564803123474,0.21832449734210968,0.2658332884311676,-0.01532319188117981,0.2658332884311676,"0,0,512,512",0.15787118673324585,0.037049394100904465,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_sd3,Ours (SD3),,0.04027598351240158,0.04027598351240158,24.668382445149142,0.058422599613397255,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_000_bear_1_black_bear/ours_sd3/seed_10/result.png,17.990530014038086,fe_000_bear_1_black_bear/ours_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.05300084128975868,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",22.008610888978946,0.07935411555370865,0.7738831402033597,0.7738831402033597,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.999657392501831,0.04566124454140663,0.04720732942223549,4.720732942223549,0.702667236328125,24.077604078694144,0.7852092385292053,0.7852092385292053,0.22542905807495117,0.9153521060943604,0.24619817733764648,0.2587042450904846,0.012506067752838135,0.2587042450904846,True,0.297332763671875,0.7438188791275024,0.012506067752838135,0.23633575439453125,,,F4,T4_local_recolor,0.8745531308404665,0.0,0.23633575439453125,4,0.04751912709429577,0.06881546229124069,0.06881546229124069,19.756590741625935,0.10284198792483032,16.778514862060547,a black bear,0.24058178067207336,0.23027382791042328,0.2440047413110733,0.003422960638999939,0.2440047413110733,"39,75,512,494",0.095413438975811,0.05206705257296562,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_004_bear_grass_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux,Ours (FLUX),,0.04620065540075302,0.04620065540075302,24.013363070747758,0.06299873753188151,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_004_bear_grass_1_black_bear/ours_flux/seed_10/result.png,19.185243606567383,fe_004_bear_grass_1_black_bear/ours_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.05154535546898842,A large brown bear walking through a grassy field.,22.572387230778187,0.07436706443032653,0.7697333255516533,0.7697333255516533,A large black bear walking through a grassy field.,fe_004_bear_grass_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9982077479362488,0.05604817718267441,0.09664000570774078,9.664000570774078,0.702667236328125,22.457767299453394,0.6603254079818726,0.6603254079818726,0.13334830105304718,0.8499977588653564,0.24295839667320251,0.24463984370231628,0.0016814470291137695,0.24463984370231628,True,0.297332763671875,0.8154180645942688,0.0016814470291137695,0.23633575439453125,,,F4,T4_local_recolor,0.7940854729111418,0.0,0.23633575439453125,4,9.684604706717888e-05,0.09777452051639557,0.09777452051639557,17.166723767698613,0.13856827532958071,14.788471221923828,a black bear,0.2494727075099945,0.2397085428237915,0.24329052865505219,-0.006182178854942322,0.24329052865505219,"39,75,512,494",0.1832672506570816,0.10729473829269409,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_004_bear_grass_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_sd3,Ours (SD3),,0.05667118728160858,0.05667118728160858,22.39153201225905,0.0759317482871667,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_004_bear_grass_1_black_bear/ours_sd3/seed_10/result.png,18.623273849487305,fe_004_bear_grass_1_black_bear/ours_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.06638538092374802,A large brown bear walking through a grassy field.,20.486173725128275,0.09455648373131095,0.6658092888183812,0.6658092888183812,A large black bear walking through a grassy field.,fe_004_bear_grass_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9994503855705261,0.014144381508231163,0.013505144976079464,1.3505144976079464,0.8351860046386719,33.88566449232291,0.9376996159553528,0.9376996159553528,0.21671150624752045,0.9922962784767151,0.244935542345047,0.24917109310626984,0.004235550761222839,0.24917109310626984,True,0.16481399536132812,0.9879897832870483,0.004235550761222839,0.11949539184570312,,,F4,T4_local_recolor,1.7383837521381191,0.0,0.11949539184570312,15,0.03441340782122905,0.06190407648682594,0.06190407648682594,19.43879346506232,0.10667442896875401,12.009161949157715,a green bicycle,0.22914768755435944,0.24322038888931274,0.2480241060256958,0.018876418471336365,0.2480241060256958,"143,263,512,512",0.03233086317777634,0.014008225873112679,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_015_bikes_5_green_bicycle_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux,Ours (FLUX),,0.014129184186458588,0.014129184186458588,33.89248743649789,0.020201128358802372,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_015_bikes_5_green_bicycle/ours_flux/seed_10/result.png,6.908234119415283,fe_015_bikes_5_green_bicycle/ours_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bikes.png,0.019838061183691025,"A bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",27.64696023314965,0.041462166217292644,0.928898946567718,0.928898946567718,"A green bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",fe_015_bikes_5_green_bicycle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9979214072227478,0.017569420859217644,0.025843145325779915,2.5843145325779915,0.8351860046386719,32.21515339219823,0.9011399745941162,0.9011399745941162,0.138648122549057,0.993013322353363,0.24455779790878296,0.2455785870552063,0.0010207891464233398,0.2455785870552063,True,0.16481399536132812,0.985834002494812,0.0010207891464233398,0.11949539184570312,,,F4,T4_local_recolor,2.1017461984551726,0.0,0.11949539184570312,15,0.12510774142059058,0.14061319828033447,0.14061319828033447,13.80590947720281,0.20403493131266184,14.612988471984863,a green bicycle,0.24033695459365845,0.2290283590555191,0.2489742934703827,0.008637338876724243,0.2489742934703827,"143,263,512,512",0.07345330715179443,0.02732684463262558,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_015_bikes_5_green_bicycle_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_sd3,Ours (SD3),,0.017675252631306648,0.017675252631306648,32.1293175013381,0.024747659098170446,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_015_bikes_5_green_bicycle/ours_sd3/seed_10/result.png,6.952784538269043,fe_015_bikes_5_green_bicycle/ours_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bikes.png,0.03236577287316322,"A bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",22.58542218012448,0.07425554517869487,0.8872037689788204,0.8872037689788204,"A green bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",fe_015_bikes_5_green_bicycle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9994961023330688,0.014270197600126266,0.013619467616081238,1.3619467616081238,0.8351860046386719,33.859434334020804,0.9380323886871338,0.9380323886871338,0.12343557178974152,0.9962935447692871,0.24295398592948914,0.2544625997543335,0.01150861382484436,0.2544625997543335,True,0.16481399536132812,0.9865829944610596,0.01150861382484436,0.11949539184570312,,,F4,T4_local_recolor,1.7905976247784487,0.0,0.11949539184570312,16,0.017717478052673583,0.04132917895913124,0.04132917895913124,22.04622843273034,0.07901118555000801,12.35782527923584,a yellow bicycle,0.2412394881248474,0.22406068444252014,0.2566240727901459,0.015384584665298462,0.2566240727901459,"143,263,512,512",0.026035215705633163,0.014137928374111652,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_016_bikes_6_yellow_bicycle_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux,Ours (FLUX),,0.014259782619774342,0.014259782619774342,33.86409766431875,0.020267263634186305,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_016_bikes_6_yellow_bicycle/ours_flux/seed_10/result.png,6.901508808135986,fe_016_bikes_6_yellow_bicycle/ours_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bikes.png,0.017494456842541695,"A bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",29.555936163333676,0.033281522996548435,0.9292576929155087,0.9292576929155087,"A yellow bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",fe_016_bikes_6_yellow_bicycle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9979616403579712,0.017660753801465034,0.025973228737711906,2.5973228737711906,0.8351860046386719,32.19771493733239,0.9013614654541016,0.9013614654541016,0.1376156210899353,0.9919751286506653,0.2411782592535019,0.25503969192504883,0.013861432671546936,0.25503969192504883,True,0.16481399536132812,0.989687442779541,0.013861432671546936,0.11949539184570312,,,F4,T4_local_recolor,1.8489317720666916,0.0,0.11949539184570312,16,0.08545889864325619,0.09473870694637299,0.09473870694637299,17.752460769206238,0.1295319673014476,12.785747528076172,a yellow bicycle,0.20764468610286713,0.2369581162929535,0.23678547143936157,0.029140785336494446,0.23678547143936157,"143,263,512,512",0.058011945337057114,0.027115479111671448,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_016_bikes_6_yellow_bicycle_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_sd3,Ours (SD3),,0.017704015597701073,0.017704015597701073,32.17244337198683,0.024625090281507393,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_016_bikes_6_yellow_bicycle/ours_sd3/seed_10/result.png,6.915207862854004,fe_016_bikes_6_yellow_bicycle/ours_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bikes.png,0.02690930664539337,"A bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",25.953560559518863,0.05038740264214938,0.8891564093457108,0.8891564093457108,"A yellow bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",fe_016_bikes_6_yellow_bicycle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9996824860572815,0.011409439146518707,0.008254642598330975,0.8254642598330975,0.834442138671875,32.47799057242076,0.9689186215400696,0.9689186215400696,0.0559677854180336,0.9905892610549927,0.23006248474121094,0.230574831366539,0.000512346625328064,0.230574831366539,True,0.165557861328125,0.9570133686065674,0.000512346625328064,0.12115478515625,,,F4,T4_local_recolor,0.954631459711671,0.0,0.12115478515625,17,0.005384130982367758,0.026411280035972595,0.026411280035972595,25.798499805933105,0.0512949971123426,8.351476669311523,a white red hull,0.21166330575942993,0.19042488932609558,0.22786791622638702,0.016204610466957092,0.22786791622638702,"44,123,351,426",0.01354305911809206,0.008733687922358513,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux,Ours (FLUX),,0.011833814904093742,0.011833814904093742,32.23356090093189,0.024452426094131157,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull/ours_flux/seed_10/result.png,8.748377799987793,fe_017_boat_silhouette_1_sailboat_white_sails_red_hull/ours_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/boat_silhouette.png,0.013599944300949574,"A serene scene of a lake with a silhouette of a sailboat floating on the water. The silhouette of the boat is positioned in the middle of the lake, slightly to the left. The sun is setting in the background, casting a warm glow over the scene.",30.735239170455863,0.02905614816820529,0.938491333679694,0.938491333679694,"A serene scene of a lake with a sailboat floating on the water. The sailboat has white sails and red hull. The boat is positioned in the middle of the lake, slightly to the left. The sun is setting in the background, casting a warm glow over the scene.",fe_017_boat_silhouette_1_sailboat_white_sails_red_hull
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9976946115493774,0.014713970944285393,0.013419123366475105,1.3419123366475105,0.834442138671875,31.262617392582772,0.9234294891357422,0.9234294891357422,0.08761728554964066,0.9731452465057373,0.23176854848861694,0.23798725008964539,0.006218701601028442,0.23798725008964539,True,0.165557861328125,0.8935387134552002,0.006218701601028442,0.12115478515625,,,F4,T4_local_recolor,1.2685872556044389,0.0,0.12115478515625,17,9.445843828715365e-05,0.0755888968706131,0.0755888968706131,15.932627139748721,0.1597234355464636,10.719951629638672,a white red hull,0.22397378087043762,0.2030177116394043,0.23338638246059418,0.009412601590156555,0.23338638246059418,"44,123,351,426",0.055597200989723206,0.014290312305092812,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_sd3,Ours (SD3),,0.015225297771394253,0.015225297771394253,30.970299906670537,0.028280364628297715,,/cluster/users/grad/2025/25t8103/project/outputs/t4_texture_metric_runs/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull/ours_sd3/seed_10/result.png,8.45030689239502,fe_017_boat_silhouette_1_sailboat_white_sails_red_hull/ours_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/boat_silhouette.png,0.02253863401710987,"A serene scene of a lake with a silhouette of a sailboat floating on the water. The silhouette of the boat is positioned in the middle of the lake, slightly to the left. The sun is setting in the background, casting a warm glow over the scene.",24.209333486884287,0.06159327910021667,0.8804625115317326,0.8804625115317326,"A serene scene of a lake with a sailboat floating on the water. The sailboat has white sails and red hull. The boat is positioned in the middle of the lake, slightly to the left. The sun is setting in the background, casting a warm glow over the scene.",fe_017_boat_silhouette_1_sailboat_white_sails_red_hull
