method,label,n,task_success_true,task_success_denominator,outside_l1,bg_psnr,bg_lpips_x100,bg_ssim_luma,source_ssim_luma,dino_source,bg_dino_source,clip_t,local_clip_t,edit_score,clip_delta,inside_l1,runtime_s,peak_mem_gb
fireflow,FireFlow-FLUX/context,42,,,0.0688,20.8760,31.6467,0.6352,0.6238,0.6841,0.7427,0.2849,0.2715,0.0213,0.0213,0.1035,,
rf_solver_edit,RF-Solver-Edit-FLUX/context,42,,,0.0559,22.1177,25.9563,0.6672,0.6559,0.7501,0.8005,0.2956,0.2740,0.0286,0.0286,0.0838,,
reflex,ReFlex-FLUX/context,42,,,0.0861,18.6825,34.7778,0.7313,0.7218,0.7108,0.7707,0.2812,0.2773,0.0324,0.0324,0.1398,,
sam_flow_flux,Sam-Flow-FLUX/context,42,,,0.0439,22.8237,10.2909,0.7319,0.7110,0.7977,0.8810,0.2883,0.2756,0.0336,0.0336,0.1243,,
dece_rf_flux,DeCE-RF-FLUX/context,42,,,0.0024,48.7449,0.4320,0.9965,0.9614,0.8872,0.9988,0.2797,0.2715,0.0370,0.0370,0.0625,,
