avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_direction_similarity,clip_image_source_similarity,clip_source_score,clip_target_minus_source,clip_target_score,complete,dino_source_similarity,edit_score,eval_mask_area,failure_flag,failure_note,fill_texture_ratio,final_mask_area,fixed_eval_mask_area,inside_blue_ratio,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,inside_texture_energy,local_clip_source_score,local_clip_target_minus_source,local_clip_target_score,local_crop_box,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,ring_texture_energy,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,target_prompt,task
1.0,0.9303441842397054,1.000000002483527,0.9303441767891248,-0.47867168486118317,-0.0014410709530541983,55.16568720340729,0.0498511902987957,0.019112178745369118,16.410365144411724,0.11266428232192993,0.9388043284416199,0.2571425139904022,0.018658220767974854,0.2758007347583771,True,0.8400046825408936,0.018658220767974854,0.03788829985119048,,,0.7209837834730196,0.0498511902987957,0.03788829985119048,0.7270635164160786,0.1598108410835266,13.380521049580341,0.21427620571475092,8.15656566619873,0.30490243434906006,0.03020453453063965,0.3351069688796997,"160,119,336,259",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,111.25521850585938,0.04978067800402641,31.730886459350586,support_v3_controller_rmsgap,DeCE-RF,,0.053861748427152634,20.549019175573772,0.09387480356034604,13.382913589477539,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/result.png,11.313105583190918,bowl_apple_inside/support_v3_controller_rmsgap/seed_10,45.281528966035694,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.05787597969174385,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",19.9062551035609,0.101085123220269,0.8584698599107752,0.8584698599107752,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.927708255747954,1.0000000273187954,0.9277082706491152,-0.48090923950076103,-0.0006750710696602861,51.92300456762314,0.0498511902987957,0.019154126445452373,16.46789050102234,0.0897105485200882,0.9315102696418762,0.26189982891082764,0.015724092721939087,0.2776239216327667,True,0.8328248858451843,0.015724092721939087,0.03788829985119048,,,0.6614266164492772,0.0498511902987957,0.03788829985119048,0.7517643448910709,0.10531138628721237,15.964461330585706,0.1591391131404624,7.435835361480713,0.308477520942688,0.012058138847351074,0.32053565979003906,"160,119,336,259",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,96.04899597167969,0.050993435084819794,32.436363220214844,support_v3_controller_rmsgap,DeCE-RF,,0.05493916943669319,20.326658660794475,0.09630904290228573,13.382582664489746,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/result.png,11.242116928100586,bowl_apple_inside/support_v3_controller_rmsgap/seed_11,45.81530342402402,11,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.05684768408536911,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",20.050878140670193,0.09941595596578785,0.8634692746380978,0.8634692746380978,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.9272106736898422,0.9999999900658926,0.9272106736898422,-0.4808750165005525,-0.0006794828847584237,52.143897434075676,0.0498511902987957,0.01918607627643117,16.493574539820354,0.08871893584728241,0.9288783073425293,0.26113560795783997,0.01583579182624817,0.27697139978408813,True,0.8282482624053955,0.01583579182624817,0.03788829985119048,,,0.6520221702112509,0.0498511902987957,0.03788829985119048,0.7519177661859466,0.10517601668834686,15.966787322731102,0.1590965030239398,7.300289630889893,0.30561062693595886,0.011987686157226562,0.3175983130931854,"160,119,336,259",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,100.87434387207031,0.050993435084819794,32.436363220214844,support_v3_controller_rmsgap,DeCE-RF,,0.05498287454247475,20.319264950804907,0.09639105917482979,13.382582664489746,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/result.png,11.196382522583008,bowl_apple_inside/support_v3_controller_rmsgap/seed_12,45.3062344690552,12,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.056884605437517166,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",20.04442644228408,0.09948982750437944,0.8635596358906327,0.8635596358906327,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.9279953315854073,1.0,0.9279953564206759,-0.4206923407812913,-0.0009326671368701985,53.595706482728325,0.0498511902987957,0.021423337302015472,10.69605847199758,0.09384377300739288,0.9291083812713623,0.26858651638031006,0.016841232776641846,0.2854277491569519,True,0.8308134078979492,0.016841232776641846,0.03788829985119048,,,0.6365161742146924,0.0498511902987957,0.03788829985119048,0.7470082847499233,0.1102108508348465,15.816881461480099,0.1618661089336998,6.873554706573486,0.3099602460861206,0.011009573936462402,0.320969820022583,"160,119,336,259",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,118.42251586914062,0.050993435084819794,14.954216003417969,support_v3_fixed,Fixed DeCE displacement,,0.05513707920908928,20.37676473815835,0.09575506669214622,13.37995719909668,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/support_v3_fixed/seed_10/result.png,10.798711776733398,bowl_apple_inside/support_v3_fixed/seed_10,47.86918764199072,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.05722372978925705,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",20.08139244167891,0.09906731165894134,0.8636961103183038,0.8636961103183038,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.926959735651811,1.0000000099341075,0.9269597629706064,-0.4215042019883792,-0.0010624796336742293,53.20935503641764,0.0498511902987957,0.021415182830727037,10.694196820259094,0.0932655930519104,0.9317646026611328,0.26972001791000366,0.016385555267333984,0.28610557317733765,True,0.8285748958587646,0.016385555267333984,0.03788829985119048,,,0.6380940183224022,0.0498511902987957,0.03788829985119048,0.7500767106474379,0.10768831521272659,15.944059173671318,0.15951335198509906,6.884697914123535,0.312359482049942,0.010343223810195923,0.32270270586013794,"160,119,336,259",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,124.70762634277344,0.050993435084819794,14.945463180541992,support_v3_fixed,Fixed DeCE displacement,,0.05509141832590103,20.38690433679983,0.0956433508521464,13.37995719909668,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/support_v3_fixed/seed_11/result.png,10.789472579956055,bowl_apple_inside/support_v3_fixed/seed_11,161.77690495899878,11,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.05708422139286995,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",20.103228197288278,0.09881857573320318,0.8642197891996596,0.8642197891996596,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.9273683478434881,1.000000002483527,0.9273683056235313,-0.42053892587622005,-0.0009979178160695785,53.50910270214081,0.0498511902987957,0.021461556617092963,10.70980155467987,0.09281237423419952,0.9294618368148804,0.26832082867622375,0.016576290130615234,0.284897118806839,True,0.8293470144271851,0.016576290130615234,0.03788829985119048,,,0.6393904545282822,0.0498511902987957,0.03788829985119048,0.7490027615833078,0.10854286700487137,15.887647569626715,0.160552702981277,6.891960620880127,0.30982705950737,0.011566609144210815,0.3213936686515808,"160,119,336,259",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,124.83917236328125,0.050993435084819794,14.957131385803223,support_v3_fixed,Fixed DeCE displacement,,0.05510150268673897,20.387568504904596,0.09563603774581891,13.37995719909668,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/support_v3_fixed/seed_12/result.png,10.77895450592041,bowl_apple_inside/support_v3_fixed/seed_12,43.63044597300177,12,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.05712630972266197,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",20.09822467794323,0.09887551671621336,0.8641030026783427,0.8641030026783427,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.9361144701639811,0.9999999975164732,0.9361144602298737,-0.4680258712420861,0.0010855897066903708,38.772874553998314,0.0334821417927742,0.012318084695531676,11.067475120226542,0.1898336112499237,0.9399635791778564,0.3013794720172882,0.0014129281044006348,0.30279240012168884,True,0.7594617009162903,0.0014129281044006348,0.026402064732142856,,,1.2879859108808533,0.0334821417927742,0.026402064732142856,0.0,0.12325312942266464,14.901881339510547,0.1798481326890748,7.9297356605529785,0.24542927742004395,0.03569731116294861,0.28112658858299255,"50,53,176,203",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/brown_bowl_lemon_phase2_eval_mask.png,fixed_eval_mask,1.0,167.4945831298828,0.03556782752275467,22.233440399169922,support_v3_controller_rmsgap,DeCE-RF,,0.027667922899127007,25.024291607338082,0.0560770836559671,13.382582664489746,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10/result.png,6.156694412231445,brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10,45.81176231207792,10,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_wooden_bowls_topdown_6962757.jpg,0.030191570520401,A top-down photo of a small empty wooden bowl on a pale wooden table beside a larger wooden bowl and folded cloth.,24.07201833668928,0.06257474423442728,0.9638532358604902,0.9638532358604902,"A top-down photo of the same small wooden bowl on the same pale wooden table, with one small yellow lemon wedge centered inside the small bowl, while the bowls, table, folded cloth, lighting, and background remain unchanged.",brown_bowl_lemon_phase2
1.0,0.9354940404494604,1.0000000124176343,0.9354940305153528,-0.45897156931459904,-0.0017508924756839406,41.143212040265404,0.0334821417927742,0.013093671780855706,11.841805656750997,0.15357719361782074,0.9468564987182617,0.3066504895687103,-0.007462620735168457,0.29918786883354187,True,0.7600873112678528,-0.007462620735168457,0.026402064732142856,,,1.1949662932708667,0.0334821417927742,0.026402064732142856,0.0,0.10099953413009644,17.70663338259762,0.13021719346101418,8.295675277709961,0.24478137493133545,0.025561988353729248,0.2703433632850647,"50,53,176,203",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/brown_bowl_lemon_phase2_eval_mask.png,fixed_eval_mask,1.0,125.67084503173828,0.0386340357363224,24.084535598754883,support_v3_controller_rmsgap,DeCE-RF,,0.029247906059026718,24.925316766565256,0.056719730893499076,13.382582664489746,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_11/result.png,6.942183494567871,brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_11,69.11640704900492,11,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_wooden_bowls_topdown_6962757.jpg,0.031142299994826317,A top-down photo of a small empty wooden bowl on a pale wooden table beside a larger wooden bowl and folded cloth.,24.46131997681981,0.05983206625880919,0.96165674871967,0.96165674871967,"A top-down photo of the same small wooden bowl on the same pale wooden table, with one small yellow lemon wedge centered inside the small bowl, while the bowls, table, folded cloth, lighting, and background remain unchanged.",brown_bowl_lemon_phase2
1.0,0.9354943732420603,1.000000002483527,0.9354943856596947,-0.4588577002286911,-0.0016919947423351307,41.17461917797724,0.0334821417927742,0.013088626922884336,11.836794257164001,0.15268048644065857,0.9467548727989197,0.3071724772453308,-0.007628321647644043,0.29954415559768677,True,0.7600858211517334,-0.007628321647644043,0.026402064732142856,,,1.1993265672046158,0.0334821417927742,0.026402064732142856,0.0,0.10067834705114365,17.75905305694345,0.12943369434698734,8.308296203613281,0.24542848765850067,0.02581198513507843,0.2712404727935791,"50,53,176,203",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/brown_bowl_lemon_phase2_eval_mask.png,fixed_eval_mask,1.0,122.80868530273438,0.0386340357363224,24.084535598754883,support_v3_controller_rmsgap,DeCE-RF,,0.029226569458842278,24.93540804084384,0.05665387212468021,13.382582664489746,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_12/result.png,6.9274678230285645,brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_12,69.13215839408804,12,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_wooden_bowls_topdown_6962757.jpg,0.031113041564822197,A top-down photo of a small empty wooden bowl on a pale wooden table beside a larger wooden bowl and folded cloth.,24.476682416253766,0.05972633683303604,0.9616444909111153,0.9616444909111153,"A top-down photo of the same small wooden bowl on the same pale wooden table, with one small yellow lemon wedge centered inside the small bowl, while the bowls, table, folded cloth, lighting, and background remain unchanged.",brown_bowl_lemon_phase2
1.0,0.936986210445563,1.0000000099341075,0.9369861880938212,-0.4222603303690751,-0.0022302385968941962,41.088208039601646,0.0334821417927742,0.013624058041993218,8.989889542261759,0.1737174093723297,0.9436826109886169,0.3077409565448761,-0.0029459893703460693,0.30479496717453003,True,0.76460862159729,-0.0029459893703460693,0.026402064732142856,,,1.220785293873748,0.0334821417927742,0.026402064732142856,0.0,0.100579634308815,17.891823946357036,0.12747023976103758,8.325395584106445,0.24838383495807648,0.027873381972312927,0.2762572169303894,"50,53,176,203",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/eval_masks/brown_bowl_lemon_phase2_eval_mask.png,fixed_eval_mask,1.0,133.51687622070312,0.0386340357363224,16.219133377075195,support_v3_fixed,Fixed DeCE displacement,,0.029252326115965843,24.924558092115795,0.05672468533015176,13.37995719909668,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_fixed/seed_10/result.png,6.819705009460449,brown_bowl_lemon_phase2/support_v3_fixed/seed_10,62.32605737099948,10,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_wooden_bowls_topdown_6962757.jpg,0.03113551437854767,A top-down photo of a small empty wooden bowl on a pale wooden table beside a larger wooden bowl and folded cloth.,24.483384625130512,0.05968026855424087,0.9611176420013462,0.9611176420013462,"A top-down photo of the same small wooden bowl on the same pale wooden table, with one small yellow lemon wedge centered inside the small bowl, while the bowls, table, folded cloth, lighting, and background remain unchanged.",brown_bowl_lemon_phase2
