method,label,n,task_success_true,task_success_denominator,outside_l1,inside_l1,source_ssim_luma,dino_source,edit_score,clip_delta,runtime_s,peak_mem_gb
direct_target,Direct target,45,,,0.0729,0.1195,0.6318,0.6077,0.0096,0.0096,32.0778,12.2392
adaptive_full_generic_support,Generic support,45,,,0.0351,0.1111,0.7470,0.8998,0.0026,0.0026,50.1845,13.2528
flowedit,FlowEdit-SD3,45,,,0.1614,0.2026,0.4931,0.4873,0.0434,0.0434,,
flowalign,FlowAlign-SD3,45,,,0.0787,0.1339,0.7907,0.5769,0.0443,0.0443,,
splitflow,SplitFlow-SD3,45,,,0.0774,0.1422,0.7287,0.6284,0.0387,0.0387,,
support_v3_fixed,Fixed CleanEdit-SD3,45,,,0.0285,0.1440,0.9251,0.8619,0.0382,0.0382,68.3457,13.4455
support_v3_controller_rmsgap,CleanEdit-SD3,45,,,0.0279,0.1468,0.9254,0.8842,0.0333,0.0333,56.8905,13.3533
