delta_avg_edit_norm,delta_avg_rec_norm,delta_bg_l1,delta_bg_psnr,delta_bg_ssim,delta_dilated_edit_mask_area,delta_eval_mask_area,delta_inside_l1,delta_source_l1,flux_avg_edit_norm,flux_avg_rec_norm,flux_bg_l1,flux_bg_psnr,flux_bg_ssim,flux_dilated_edit_mask_area,flux_eval_mask_area,flux_inside_l1,flux_source_l1,ratio_avg_edit_norm,ratio_avg_rec_norm,ratio_bg_l1,ratio_bg_psnr,ratio_bg_ssim,ratio_dilated_edit_mask_area,ratio_eval_mask_area,ratio_inside_l1,ratio_source_l1,sd3_avg_edit_norm,sd3_avg_rec_norm,sd3_bg_l1,sd3_bg_psnr,sd3_bg_ssim,sd3_dilated_edit_mask_area,sd3_eval_mask_area,sd3_inside_l1,sd3_source_l1,task
-13.739583015441895,0.3076930642127991,-0.05028664809651673,23.523411364537612,0.3418072462081909,0.010439918154761904,0.00015113467261904795,-0.09501468390226364,-0.051031519658863544,33.04294737180074,21.018997251987457,0.0033980931621044874,43.686251349000656,0.9973383545875549,0.055966331845238096,0.02562313988095238,0.061388082802295685,0.004896040074527264,0.7063095368781376,1.0148562862784094,0.06329718803587954,2.1666715295396948,1.5214203290111181,1.2293156281920328,1.0059333637608399,0.39249997999240094,0.08754252997747276,46.78253038724264,20.711304187774658,0.053684741258621216,20.162839984463044,0.655531108379364,0.04552641369047619,0.025472005208333332,0.15640276670455933,0.05592755973339081,cat_crown
-8.221101482709251,6.597890138626099,-0.05467529548332095,21.71066122922872,0.5211159884929657,-0.08118257068452381,-0.06079101562499999,-0.04791557788848877,-0.06246962025761604,42.4867140452067,22.876985390981037,0.004795268643647432,42.4107995628744,0.9945797324180603,0.06589471726190477,0.028227306547619048,0.1309816986322403,0.008366037160158157,0.8378730892443331,1.405298331163192,0.08063264093829069,2.0488172049527105,2.100646026605598,0.4480278238874397,0.3170954681990336,0.7321615017267369,0.11810488481552424,50.707815527915955,16.27909525235494,0.059470564126968384,20.700138333645683,0.4734637439250946,0.14707728794642858,0.08901832217261904,0.17889727652072906,0.0708356574177742,dog_bow_tie_phase2
9.232899705568954,9.824254512786867,-0.052319019519700305,57.53344694041617,0.5100760459899902,-0.2870542046181941,-0.19366376675036806,0.08391080796718597,-0.04814339242875576,98.8777985572815,24.53488818804423,2.9770201308565447e-06,79.32758851262969,0.9999974370002747,0.08621420539337998,0.07720121444176159,0.16647791862487793,0.013040019199252129,1.1029941449411604,1.6678335365872667,5.689806061949927e-05,3.6398583651382963,2.041138548651946,0.2309710735786795,0.285017332628175,2.0162740018245855,0.21312997840876868,89.64489885171254,14.710633675257364,0.05232199653983116,21.794141572213523,0.4899213910102844,0.37326841001157407,0.27086498119212965,0.08256711065769196,0.06118341162800789,dog_front_sunglasses_phase2
-21.57520012060801,-0.7795075376828517,-0.04749377863481641,20.14793483951026,0.4422365427017212,0.009963262648809534,0.005801246279761904,-0.0006478205323219299,-0.04432218428701162,30.322845697402954,15.686895231405893,0.005075294058769941,40.86466590779578,0.9941036105155945,0.12094261532738096,0.07176571800595238,0.11041399836540222,0.012540553696453571,0.5842772154415024,0.9526607268986419,0.09654524606802031,1.9725441129249386,1.801346136586054,1.089775822333962,1.0879450123369756,0.9941670275279887,0.2205407994968545,51.898045818010964,16.466402769088745,0.05256907269358635,20.716731068285522,0.5518670678138733,0.11097935267857142,0.06596447172619048,0.11106181889772415,0.056862737983465195,bowl_apple_inside
1.6258270641167911,-3.448953787485758,-0.023821643844712526,33.07603977552627,0.09895813465118408,0.15561058407738093,0.1347714378720238,0.05335005931556225,-0.012819929048418999,41.84427706400553,13.515298088391622,0.00022183050168678164,55.406425535250904,0.9998165369033813,0.20449102492559523,0.1505185081845238,0.07451263070106506,0.011455219238996506,1.0404249060846773,0.7966928448881345,0.00922622489956417,2.4812121980974746,1.1098487114110087,4.183493875609466,9.558508674787744,3.520962993755528,0.4718908038528858,40.21844999988874,16.96425187587738,0.024043474346399307,22.330385759724635,0.9008584022521973,0.04888044084821429,0.0157470703125,0.021162571385502815,0.024275148287415504,white_bowl_orange_tabletop_phase2
-10.147113541762035,3.445734977722168,-0.023921326966956258,22.238438053400976,0.24844372272491455,0.021612258184523808,0.015508742559523808,0.032599277794361115,-0.020608609542250633,31.21083418528239,15.290231267611185,0.002037991536781192,48.261888073144085,0.9957999587059021,0.10706147693452381,0.06154668898809524,0.14024138450622559,0.01054658554494381,0.7546514249514676,1.2909144376754627,0.07850712785421449,1.8545537980755598,1.3324301193510546,1.2529251700680273,1.3368686868686868,1.3028487530592707,0.3385177180058397,41.357947727044426,11.844496289889017,0.02595931850373745,26.02345001974311,0.7473562359809875,0.08544921875,0.04603794642857143,0.10764210671186447,0.031155195087194443,brown_bowl_lemon_phase2
8.19288444519043,4.717081626256309,-0.016996031277813017,28.90646783703107,0.11202347278594971,0.33304850260416663,0.2731410435267857,-0.03298219293355942,-0.0012182798236608505,63.84039465586344,27.0148712793986,0.0005526713794097304,54.0156494549423,0.998731791973114,0.44206310453869047,0.3319673084077381,0.06469058245420456,0.022149695083498955,1.1472282302330044,1.2115492925367857,0.03149357477900284,2.151230983028579,1.126336327698651,4.0550815825957125,5.643181818181818,0.6623194866469282,0.9478654085986896,55.64751021067301,22.297789653142292,0.017548702657222748,25.10918161791123,0.8867083191871643,0.10901460193452381,0.058826264880952384,0.09767277538776398,0.023367974907159805,tshirt_star
-13.453764160474144,19.326629281044003,-0.006063214386813343,22.51681636269712,0.03396230936050415,-0.013799758184523808,-0.006673177083333332,-0.04637863487005234,-0.00933971256017685,21.300652265548706,38.136494080225624,0.0004847102100029588,56.976242436751996,0.9986656308174133,0.06123279389880952,0.028273809523809524,0.09101065248250961,0.00305273849517107,0.6128905174077257,2.027473056684855,0.07402501400804648,1.6534298137846943,1.0352049263282455,0.8160830492717694,0.8090485695276115,0.6624290309401077,0.24633855574952393,34.75441642602285,18.80986479918162,0.006547924596816301,34.459426074054875,0.9647033214569092,0.07503255208333333,0.034946986607142856,0.13738928735256195,0.01239245105534792,mug_heart
13.807829896608993,8.2301101287206,-0.017613846284803003,27.71549803881778,0.11804866790771484,0.10967726934523808,0.06479027157738096,0.037696585059165955,-0.005794119089841843,46.53236063321432,32.71337024370829,0.000811722653452307,51.990417449231494,0.9986892342567444,0.27970958891369047,0.16904994419642858,0.120235376060009,0.02124718949198723,1.4219412650328305,1.3361525421887117,0.04405414324911303,2.1417338846829743,1.1340486373426135,1.6450377764862738,1.6214317573595005,1.4567135597949445,0.7857308172676484,32.724530736605324,24.48326011498769,0.01842556893825531,24.274919410413712,0.8806405663490295,0.17003231956845238,0.10425967261904762,0.08253879100084305,0.02704130858182907,tote_leaf
74.89771419763565,0.07974624633789062,-0.03951402893289924,21.588463279822346,0.4615436792373657,0.14002019708806818,0.050498268821022735,-0.1666995882987976,-0.040020160377025604,102.06627575556438,31.792691548665363,0.003587233368307352,43.46797767019331,0.9920697212219238,0.3204290216619318,0.1632357510653409,0.2597866654396057,0.04568873345851898,3.7567787877889294,1.0025146275622667,0.08322803502223483,1.9866975516295415,1.8699736539055698,1.776127206741711,1.4479279456639433,0.6091325644435723,0.5330687565071721,27.168561557928722,31.712945302327473,0.04310126230120659,21.87951439037096,0.5305260419845581,0.18040882457386365,0.11273748224431818,0.4264862537384033,0.08570889383554459,red_office_chair_to_blue_office_chair
