avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,bg_dilate_px,bg_dino_source,bg_l1,bg_mask_area,bg_psnr,bg_ssim,bg_ssim_luma,clip_direction_similarity,clip_image_source_similarity,clip_source_score,clip_t,clip_target_minus_source,clip_target_score,complete,dilated_edit_mask_area,dino_source_similarity,edit_score,eval_mask_area,failure_flag,failure_note,fill_texture_ratio,final_mask_area,fixed_eval_mask_area,inside_blue_ratio,inside_l1,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,inside_texture_energy,local_clip_prompt,local_clip_source_score,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,local_clip_target_score,local_crop_box,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_l1,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,ring_texture_energy,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,target_prompt,task
1.0,0.9303441842397054,1.000000002483527,0.9303441767891248,-0.47867168486118317,-0.0014410709530541983,55.16568720340729,0.0498511902987957,0.019112178745369118,16.410365144411724,31,0.9827738404273987,0.05243547633290291,0.8890206473214286,20.723833842371448,0.5524114370346069,0.5524114370346069,0.11266428232192993,0.9388043284416199,0.2571425139904022,0.2758007347583771,0.018658220767974854,0.2758007347583771,True,0.11097935267857142,0.8403672575950623,0.018658220767974854,0.06596447172619048,,,0.8549493431640373,0.0498511902987957,,0.727352837504406,0.13291600346565247,0.13291600346565247,14.562349715405581,0.18701761500373645,9.341300964355469,a red apple inside a bowl,0.29805225133895874,0.24262751638889313,0.32001373171806335,0.021961480379104614,0.32001373171806335,"155,107,341,293",outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,111.25521850585938,0.04978067800402641,31.730886459350586,support_v3_controller_rmsgap,CleanEdit,,0.052576418966054916,0.052576418966054916,20.721289697871754,0.09203129117475796,13.382913589477539,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/result.png,10.926145553588867,bowl_apple_inside/support_v3_controller_rmsgap/seed_10,45.281528966035694,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.057875972241163254,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",19.9062543118987,0.1010851324335192,0.5295704473850035,0.5295704473850035,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.9361144701639811,0.9999999975164732,0.9361144602298737,-0.4680258712420861,0.0010855897066903708,38.772874553998314,0.0334821417927742,0.012318084695531676,11.067475120226542,31,0.9641923904418945,0.024429455399513245,0.91455078125,26.455114237073904,0.7505204677581787,0.7505204677581787,0.1898336112499237,0.9399635791778564,0.3013794720172882,0.30279240012168884,0.0014129281044006348,0.30279240012168884,True,0.08544921875,0.7599801421165466,0.0014129281044006348,0.04603794642857143,,,0.5666170168865121,0.0334821417927742,,0.0,0.13441143929958344,0.13441143929958344,14.382385725513927,0.19093287573176607,6.6415324211120605,a yellow lemon inside a wooden bowl,0.2673546075820923,0.28974902629852295,0.2996352016925812,0.03228059411048889,0.2996352016925812,"0,45,171,211",outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,167.4945831298828,0.03556782752275467,22.233440399169922,support_v3_controller_rmsgap,CleanEdit,,0.025161944329738617,0.025161944329738617,26.298130133515386,0.04842766096567635,13.382582664489746,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10/result.png,11.721378326416016,brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10,45.81176231207792,10,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_wooden_bowls_topdown_6962757.jpg,0.03019157238304615,A top-down photo of a small empty wooden bowl on a pale wooden table beside a larger wooden bowl and folded cloth.,24.0720188531726,0.06257474051358665,0.7458709524034326,0.7458709524034326,"A top-down photo of the same small wooden bowl on the same pale wooden table, with one small yellow lemon wedge centered inside the small bowl, while the bowls, table, folded cloth, lighting, and background remain unchanged.",brown_bowl_lemon_phase2
1.0,0.9280055165290833,1.0000000173846881,0.9280055090785027,-0.48706963285803795,-1.4918252423020325e-05,46.11226121584574,0.015625,0.026395091069086146,20.71551712354024,31,0.9791338443756104,0.05368053913116455,0.9544735863095238,20.162514557247036,0.6555837392807007,0.6555837392807007,0.19089093804359436,0.8773261308670044,0.20676201581954956,0.269301176071167,0.06253916025161743,0.269301176071167,True,0.04552641369047619,0.9700813293457031,0.06253916025161743,0.025472005208333332,,,1.992258403323619,0.015625,,0.07507987220447285,0.15752798318862915,0.15752798318862915,12.796764269587605,0.22917212223292707,14.28361701965332,a small golden crown on a cat's head,0.17270822823047638,0.2944352328777313,0.25906798243522644,0.08635975420475006,0.25906798243522644,"174,0,290,90",outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,93.04385375976562,0.08544035255908966,48.33605194091797,support_v3_controller_rmsgap,CleanEdit,,0.05329699069261551,0.05329699069261551,20.20744688097855,0.09763997419149258,13.382582664489746,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,7.169560432434082,cat_crown/support_v3_controller_rmsgap/seed_10,45.79900091001764,10,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,0.05595196783542633,A photo of a cat sitting in grass.,19.735275275096306,0.10309467556177469,0.6547882228209045,0.6547882228209045,"A photo of the same cat sitting in the same grass, wearing a small golden crown centered on top of its head between the ears.",cat_crown
1.0,0.9309528296192487,1.0000000149011612,0.9309527973333994,-0.5083407511313757,-0.0009874318378327491,50.61086561282476,0.0691964328289032,0.018375148846340988,16.283600211143494,31,0.9803352952003479,0.05947154387831688,0.8529227120535714,20.699927339359242,0.47341376543045044,0.47341376543045044,0.2957572042942047,0.923190712928772,0.23998206853866577,0.3121008276939392,0.07211875915527344,0.3121008276939392,True,0.14707728794642858,0.8912665843963623,0.07211875915527344,0.08901832217261904,,,1.143516133759623,0.0691964328289032,,0.01240694789081886,0.17860303819179535,0.17860303819179535,12.101368320935881,0.2482741958787599,10.462775230407715,a red bow tie on a dog's neck,0.24176396429538727,0.2960992455482483,0.3152228891849518,0.07345892488956451,0.3152228891849518,"8,125,299,355",outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,123.0965347290039,0.04754924401640892,31.000043869018555,support_v3_controller_rmsgap,CleanEdit,,0.06028147041797638,0.06028147041797638,20.661980127119705,0.09266185575481517,13.382582664489746,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/result.png,9.149652481079102,dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10,45.50260854989756,10,/cluster/users/grad/2025/25t8103/project/data/paper_images/dog_sitting_cc0.jpg,0.07081427425146103,A photo of a shaggy grey and white dog sitting in grass.,18.75854968059422,0.11536458708273004,0.4455009280387656,0.4455009280387656,"A photo of the same shaggy grey and white dog sitting in the same grass, wearing a small red bow tie attached at the front of its neck, while the dog, grass, pose, and background remain unchanged.",dog_bow_tie_phase2
1.0,0.9317158808310827,0.9999999677141508,0.9317159131169319,-0.38012774537007016,-0.0023999251078142456,87.55155301094055,0.22077547013759613,0.015278956256224774,14.795096139113108,31,0.9907444715499878,0.05243612825870514,0.6267315899884259,21.763809545207895,0.4901779890060425,0.4901779890060425,0.23189884424209595,0.8685643672943115,0.20162254571914673,0.2738397717475891,0.07221722602844238,0.2738397717475891,True,0.37326841001157407,0.9159387946128845,0.07221722602844238,0.27086498119212965,,,0.9930057772392168,0.22077547013759613,,0.002069736776218057,0.08593268692493439,0.08593268692493439,17.417156150702336,0.13463010746751894,9.793882369995117,black sunglasses on a dog's face,0.20727181434631348,0.2906014919281006,0.2737501263618469,0.06647831201553345,0.2737501263618469,"0,0,512,362",outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,239.25411987304688,0.036935314536094666,26.629667282104492,support_v3_controller_rmsgap,CleanEdit,,0.05339678376913071,0.05339678376913071,21.333795787258225,0.08576502343823553,14.485894203186035,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/result.png,9.862865447998047,dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10,47.82481480506249,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/commons_dog_front_medusa.jpg,0.06220962479710579,A close-up front-facing portrait of a dog indoors.,19.88313136053289,0.10135459252023311,0.47464846275806166,0.47464846275806166,"A close-up front-facing portrait of the same dog wearing black sunglasses aligned across both eyes indoors, while the dog face, ears, fur, nose, floor, and lighting remain unchanged.",dog_front_sunglasses_phase2
1.0,0.9319107060631117,0.9999999577800432,0.9319106861948967,-0.34866902670667815,-4.187836869580981e-06,20.267445544401806,0.1026785746216774,0.003965342009905726,15.687262455622355,31,0.9958221912384033,0.003449386917054653,0.8978736514136905,41.0532971874344,0.9895314574241638,0.9895314574241638,0.2876932919025421,0.973029613494873,0.29839667677879333,0.3231128454208374,0.024716168642044067,0.3231128454208374,True,0.10212634858630952,0.8927367925643921,0.024716168642044067,0.05275762648809524,,,1.8001424337427614,0.1026785746216774,,0.0,0.3551012873649597,0.3551012873649597,7.499314470582639,0.4217297869238375,4.048592567443848,an orange mug,0.27811193466186523,0.28701460361480713,0.32112908363342285,0.04301714897155762,0.32112908363342285,"35,267,245,469",outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,62.130985260009766,0.013750034384429455,32.90960693359375,support_v3_controller_rmsgap,CleanEdit,,0.004448227118700743,0.004448227118700743,35.43009115976495,0.01692370482651337,13.415494441986084,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_10/result.png,2.249040126800537,green_mug_orange_phase2/support_v3_controller_rmsgap/seed_10,57.45575599500444,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_green_mug_marble_7828522.jpg,0.022947851568460464,A studio photo of a plain green ceramic mug on a white marble block against a pink background.,20.152672989546687,0.09825764490856223,0.9825299230711293,0.9825299230711293,"A studio photo of the same plain ceramic mug on the same white marble block against the same pink background, with only the mug color changed from green to orange.",green_mug_orange_phase2
1.0,0.9080858007073402,0.9999999975164732,0.9080857957402865,-0.43748198946317035,7.3168861331486075e-09,34.75441642602285,0.0096726194024086,0.0074213249802899854,18.80986479918162,31,0.9870030879974365,0.006547924596816301,0.9249674479166666,34.459426074054875,0.9647033214569092,0.9647033214569092,0.23914003372192383,0.8551617860794067,0.26184678077697754,0.332258939743042,0.07041215896606445,0.332258939743042,True,0.07503255208333333,0.798481285572052,0.07041215896606445,0.034946986607142856,,,1.5082660081893533,0.0096726194024086,,0.0026613439787092482,0.1489693820476532,0.1489693820476532,9.641753966886913,0.32954315985206567,3.3471221923828125,a red heart on a white mug,0.2262464016675949,0.30484482645988464,0.33999308943748474,0.11374668776988983,0.33999308943748474,"182,86,322,242",outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,165.9480743408203,0.0163195189088583,27.98194694519043,support_v3_controller_rmsgap,CleanEdit,,0.007915377616882324,0.007915377616882324,28.76771512417676,0.0364430103004175,12.228387355804443,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/result.png,2.2191855907440186,mug_heart/support_v3_controller_rmsgap/seed_10,48.24358635395765,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.012844791635870934,A minimalist photo of a plain white ceramic mug on a grey background.,22.944032125567936,0.07125221894180314,0.9553112477417907,0.9553112477417907,"A minimalist photo of the same white ceramic mug with a small flat hard-edged solid red heart decal printed cleanly on the front, with sharp printed edges and no glow or blur, while the mug shape, handle, highlights, bottom shadow, grey background, and lighting remain unchanged.",mug_heart
1.0,0.93160496900479,1.0000000124176343,0.9316049565871557,-0.411201527963082,-5.249542023951411e-05,60.61014620463053,0.0956101194024086,0.012021102685442505,24.70545196533203,31,0.9989719390869141,0.0009912659879773855,0.8341878255208334,47.54781308712174,0.9981864094734192,0.9981864094734192,0.062368568032979965,0.9729740619659424,0.24316424131393433,0.2717205882072449,0.028556346893310547,0.2717205882072449,True,0.16581217447916666,0.9688584804534912,0.028556346893310547,0.10503278459821429,,,1.5305734883956927,0.0956101194024086,,0.0,0.023679163306951523,0.023679163306951523,28.710857870027052,0.03668234629891921,7.364565372467041,a cable-knit pillow,0.2343909740447998,0.25326499342918396,0.2586871087551117,0.02429613471031189,0.2586871087551117,"44,60,340,316",outputs/pretty_matrix/pillow_same_color_cable_knit/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,164.33177185058594,0.03295525908470154,41.641788482666016,support_v3_controller_rmsgap,CleanEdit,,0.0016978869680315256,0.0016978869680315256,42.251121414781764,0.00771691877829843,13.403027057647705,outputs/pretty_matrix/pillow_same_color_cable_knit/support_v3_controller_rmsgap/seed_10/result.png,4.811637878417969,pillow_same_color_cable_knit/support_v3_controller_rmsgap/seed_10,60.43189133700798,10,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_white_pillow_brown_sofa_6312089.jpg,0.004006642382591963,A cozy living room photo with a plain white pillow on a brown sofa.,37.10795632147258,0.01395089865795083,0.9609039435775231,0.9609039435775231,"A photo of the same white pillow on the same brown sofa, with the entire pillow surface changed into same-color white chunky cable-knit fabric with thick braided knitted columns, while preserving the pillow shape, outline, lighting, sofa, background, and the rest of the scene.",pillow_same_color_cable_knit
1.0,0.9454739217956861,1.0000000223517418,0.9454739863673846,-0.380697850137949,-0.00046226349066576705,41.885666847229004,0.02678571455180645,0.01424325090192724,25.14895025889079,31,0.9994066953659058,0.0011492957128211856,0.9110398065476191,51.78419489098471,0.9977642297744751,0.9977642297744751,-0.00915899034589529,0.993172824382782,0.28433600068092346,0.26337292790412903,-0.020963072776794434,0.26337292790412903,True,0.08896019345238096,0.9914085865020752,-0.020963072776794434,0.049548921130952384,,,1.6123525775558374,0.02678571455180645,,0.001290473955889254,0.015803281217813492,0.015803281217813492,32.079990057526274,0.024888601672033047,8.971159934997559,a cable-knit pillow on an armchair,0.3286459743976593,0.2970373034477234,0.31217119097709656,-0.016474783420562744,0.31217119097709656,"203,51,389,213",outputs/pretty_matrix/pillow_same_color_cable_knit_armchair/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,162.4899139404297,0.04995715618133545,52.80045700073242,support_v3_controller_rmsgap,CleanEdit,,0.0011754375882446766,0.0011754375882446766,51.356063314096076,0.0027051841507359665,13.403027057647705,outputs/pretty_matrix/pillow_same_color_cable_knit_armchair/support_v3_controller_rmsgap/seed_10/result.png,5.564018726348877,pillow_same_color_cable_knit_armchair/support_v3_controller_rmsgap/seed_10,62.80406416600454,10,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_green_chair_white_pillow_6312055.jpg,0.0019002316985279322,A photo of a plain white throw pillow centered on a green velvet armchair against a tiled wall.,44.24256681801538,0.006135806555644104,0.9877694778499532,0.9877694778499532,"A photo of the same plain white throw pillow on the same green velvet armchair, with the entire pillow surface changed into same-color white chunky cable-knit fabric with thick braided knitted columns, while preserving the pillow shape, seams, shadows, chair, tiled wall, floor, and the rest of the scene.",pillow_same_color_cable_knit_armchair
1.0,0.9385117913285891,1.0000000248352687,0.9385118087132772,-0.40133823081851006,-7.370777814230678e-05,47.985990126927696,0.0628720223903656,0.013497347278947322,21.757943749427795,31,0.9989537000656128,0.001806441810913384,0.8898111979166666,50.061207075176206,0.9961293935775757,0.9961293935775757,0.07607144117355347,0.9964553117752075,0.23224350810050964,0.20576325058937073,-0.026480257511138916,0.20576325058937073,True,0.11018880208333333,0.9880422949790955,-0.026480257511138916,0.06554594494047619,,,0.9777163821305738,0.0628720223903656,,0.0,0.029423009604215622,0.029423009604215622,27.845359191204363,0.0405258413978542,7.909789085388184,a grey cable-knit pillow,0.2532031238079071,0.25503647327423096,0.27462565898895264,0.021422535181045532,0.27462565898895264,"99,211,323,397",outputs/pretty_matrix/pillow_same_color_cable_knit_grey/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,155.7730255126953,0.041678667068481445,41.944087982177734,support_v3_controller_rmsgap,CleanEdit,,0.0023239136207848787,0.0023239136207848787,43.17858251856832,0.0069353897789101995,13.403027057647705,outputs/pretty_matrix/pillow_same_color_cable_knit_grey/support_v3_controller_rmsgap/seed_10/result.png,8.090065002441406,pillow_same_color_cable_knit_grey/support_v3_controller_rmsgap/seed_10,60.693294797994895,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_plain_pillow_sofa_phase1.jpg,0.004100149497389793,"A cozy living room photo with a plain dark grey pillow on a rattan-backed sofa beside a wooden table, soft natural light, and a simple home interior.",38.16457275815124,0.012352969299833538,0.959781805144926,0.959781805144926,"A photo of the same plain dark grey pillow on the same rattan-backed sofa, with the entire pillow surface uniformly changed into same-color dark grey chunky cable-knit fabric, the same thick braided knitted columns covering every part of the pillow including the brightly lit left side, while preserving the pillow shape, outline, lighting, sofa, table, wall, and the rest of the scene.",pillow_same_color_cable_knit_grey
