delta_bg_dino_source,delta_bg_l1,delta_bg_psnr,delta_bg_ssim,delta_clip_direction_similarity,delta_clip_image_source_similarity,delta_clip_target_minus_source,delta_dilated_edit_mask_area,delta_dino_source_similarity,delta_eval_mask_area,delta_inside_l1,delta_local_clip_t,delta_local_clip_target_minus_source,delta_source_l1,flux_bg_dino_source,flux_bg_l1,flux_bg_psnr,flux_bg_ssim,flux_clip_direction_similarity,flux_clip_image_source_similarity,flux_clip_target_minus_source,flux_dilated_edit_mask_area,flux_dino_source_similarity,flux_eval_mask_area,flux_inside_l1,flux_local_clip_t,flux_local_clip_target_minus_source,flux_source_l1,ratio_bg_dino_source,ratio_bg_l1,ratio_bg_psnr,ratio_bg_ssim,ratio_clip_direction_similarity,ratio_clip_image_source_similarity,ratio_clip_target_minus_source,ratio_dilated_edit_mask_area,ratio_dino_source_similarity,ratio_eval_mask_area,ratio_inside_l1,ratio_local_clip_t,ratio_local_clip_target_minus_source,ratio_source_l1,sd3_bg_dino_source,sd3_bg_l1,sd3_bg_psnr,sd3_bg_ssim,sd3_clip_direction_similarity,sd3_clip_image_source_similarity,sd3_clip_target_minus_source,sd3_dilated_edit_mask_area,sd3_dino_source_similarity,sd3_eval_mask_area,sd3_inside_l1,sd3_local_clip_t,sd3_local_clip_target_minus_source,sd3_source_l1,task
0.02052462100982666,-0.04749377863481641,20.14793483951026,0.4422365427017212,0.08237133175134659,0.025555193424224854,-0.024652600288391113,0.009963262648809534,0.03659933805465698,0.005801246279761904,-0.0006478205323219299,0.0012281835079193115,-0.009130537509918213,-0.04432218428701162,0.9993588924407959,0.005075294058769941,40.86466590779578,0.9941036105155945,0.17125168442726135,0.9571171402931213,-0.009090036153793335,0.12094261532738096,0.8691376447677612,0.07176571800595238,0.11041399836540222,0.23720653355121613,0.003027588129043579,0.012540553696453571,1.020968433174925,0.09654524606802031,1.9725441129249386,1.801346136586054,1.9267664818083916,1.027432629155924,-0.5840963015590022,1.089775822333962,1.0439611460031823,1.0879450123369756,0.9941670275279887,1.0052046448654886,0.2490176708933986,0.2205407994968545,0.9788342714309692,0.05256907269358635,20.716731068285522,0.5518670678138733,0.08888035267591476,0.9315619468688965,0.015562564134597778,0.11097935267857142,0.8325383067131042,0.06596447172619048,0.11106181889772415,0.23597835004329681,0.012158125638961792,0.056862737983465195,bowl_apple_inside
0.04139310121536255,-0.023921326966956258,22.238438053400976,0.24844372272491455,0.029782027006149292,0.004285097122192383,-0.05076298117637634,0.021612258184523808,0.05688661336898804,0.015508742559523808,0.032599277794361115,0.011838346719741821,-0.03438439965248108,-0.020608609542250633,0.9992362260818481,0.002037991536781192,48.261888073144085,0.9957999587059021,0.18276944756507874,0.9509885311126709,-0.058317214250564575,0.10706147693452381,0.8157209753990173,0.06154668898809524,0.14024138450622559,0.295378714799881,-0.006883680820465088,0.01054658554494381,1.043214906638425,0.07850712785421449,1.8545537980755598,1.3324301193510546,1.194669776752511,1.0045263352474916,7.719806058119443,1.2529251700680273,1.0749657846500327,1.3368686868686868,1.3028487530592707,1.0417518916262247,-0.25030912328194105,0.3385177180058397,0.9578431248664856,0.02595931850373745,26.02345001974311,0.7473562359809875,0.15298742055892944,0.9467034339904785,-0.007554233074188232,0.08544921875,0.7588343620300293,0.04603794642857143,0.10764210671186447,0.28354036808013916,0.02750071883201599,0.031155195087194443,brown_bowl_lemon_phase2
0.02068185806274414,-0.05028664809651673,23.523411364537612,0.3418072462081909,0.02778327465057373,0.04287642240524292,-0.002811908721923828,0.010439918154761904,0.021020948886871338,0.00015113467261904795,-0.09501468390226364,0.0021079182624816895,-0.0005433261394500732,-0.051031519658863544,0.9996014833450317,0.0033980931621044874,43.686251349000656,0.9973383545875549,0.21693044900894165,0.9169226288795471,0.05995917320251465,0.055966331845238096,0.9904665350914001,0.02562313988095238,0.061388082802295685,0.2942602336406708,0.08689869940280914,0.004896040074527264,1.021127227944562,0.06329718803587954,2.1666715295396948,1.5214203290111181,1.1468870721691782,1.049055098103104,0.9552037556830915,1.2293156281920328,1.021683474746809,1.0059333637608399,0.39249997999240094,1.0072151345429283,0.9937864415184722,0.08754252997747276,0.9789196252822876,0.053684741258621216,20.162839984463044,0.655531108379364,0.18914717435836792,0.8740462064743042,0.06277108192443848,0.04552641369047619,0.9694455862045288,0.025472005208333332,0.15640276670455933,0.2921523153781891,0.08744202554225922,0.05592755973339081,cat_crown
0.019158780574798584,-0.05467529548332095,21.71066122922872,0.5211159884929657,0.03452375531196594,0.020768344402313232,-0.0036392658948898315,-0.08118257068452381,0.08623695373535156,-0.06079101562499999,-0.04791557788848877,0.0037462711334228516,0.005043119192123413,-0.06246962025761604,0.9995300769805908,0.004795268643647432,42.4107995628744,0.9945797324180603,0.3308919668197632,0.9436471462249756,0.0687696635723114,0.06589471726190477,0.9791198968887329,0.028227306547619048,0.1309816986322403,0.2974826693534851,0.07764071226119995,0.008366037160158157,1.0195423720023606,0.08063264093829069,2.0488172049527105,2.100646026605598,1.1164894005882868,1.0225038698053268,0.9497400952939334,0.4480278238874397,1.0965825973008172,0.3170954681990336,0.7321615017267369,1.0127538539865129,1.0694667547355858,0.11810488481552424,0.9803712964057922,0.059470564126968384,20.700138333645683,0.4734637439250946,0.29636821150779724,0.9228788018226624,0.07240892946720123,0.14707728794642858,0.8928829431533813,0.08901832217261904,0.17889727652072906,0.29373639822006226,0.07259759306907654,0.0708356574177742,dog_bow_tie_phase2
0.00934070348739624,-0.052319019519700305,57.53344694041617,0.5100760459899902,-0.017843231558799744,-0.01880323886871338,-0.00375385582447052,-0.2870542046181941,0.05342245101928711,-0.19366376675036806,0.08391080796718597,0.0006431639194488525,0.004522666335105896,-0.04814339242875576,0.9999999403953552,2.9770201308565447e-06,79.32758851262969,0.9999974370002747,0.2074151486158371,0.8457340002059937,0.0666659027338028,0.08621420539337998,0.9539199471473694,0.07720121444176159,0.16647791862487793,0.2825242877006531,0.06444910168647766,0.013040019199252129,1.0094287754450768,5.689806061949927e-05,3.6398583651382963,2.041138548651946,0.9207877125593891,0.9782505159768039,0.9466931454846703,0.2309710735786795,1.0593254853555845,0.285017332628175,2.0162740018245855,1.002281684955776,1.0754703046925411,0.21312997840876868,0.990659236907959,0.05232199653983116,21.794141572213523,0.4899213910102844,0.22525838017463684,0.864537239074707,0.07041975855827332,0.37326841001157407,0.9004974961280823,0.27086498119212965,0.08256711065769196,0.2818811237812042,0.059926435351371765,0.06118341162800789,dog_front_sunglasses_phase2
0.003811478614807129,-0.00325523063656874,18.27111729800516,0.009997129440307617,-0.07009680569171906,-0.018154621124267578,-0.00057220458984375,-0.005469912574404753,0.0375971794128418,-0.004144577752976192,-0.1492963433265686,-0.041363269090652466,-0.021195948123931885,-0.01271125953644514,0.9994913935661316,0.00019964828970842063,59.322803497867824,0.9995144605636597,0.2186092883348465,0.9558026790618896,0.023667573928833008,0.09665643601190477,0.9486939907073975,0.04861304873511905,0.2055143415927887,0.24723371863365173,0.021569907665252686,0.010229204781353474,1.0038280159693624,0.05778734768096596,1.4450759271872804,1.0101030362236894,0.7572035812819765,0.9813599414257713,0.9763939844003581,0.9464397518356197,1.0412658445806882,0.9214411635081533,0.5792225271893905,0.8566746333119504,0.5043721741845205,0.4459022554925809,0.9956799149513245,0.0034548789262771606,41.051686199862665,0.989517331123352,0.28870609402656555,0.9739573001861572,0.024239778518676758,0.10212634858630952,0.9110968112945557,0.05275762648809524,0.3548106849193573,0.2885969877243042,0.04276585578918457,0.022940464317798615,green_mug_orange_phase2
0.012279152870178223,-0.006063214386813343,22.51681636269712,0.03396230936050415,-0.030640259385108948,-8.118152618408203e-05,-0.032257914543151855,-0.013799758184523808,-0.017376363277435303,-0.006673177083333332,-0.04637863487005234,0.0026685893535614014,-0.040999263525009155,-0.00933971256017685,0.9992822408676147,0.0004847102100029588,56.976242436751996,0.9986656308174133,0.19464612007141113,0.8575783967971802,0.031469762325286865,0.06123279389880952,0.8040880560874939,0.028273809523809524,0.09101065248250961,0.2909339964389801,0.057681888341903687,0.00305273849517107,1.0124408454436469,0.07402501400804648,1.6534298137846943,1.0352049263282455,0.8639941772821536,0.999905345281233,0.4938162486332895,0.8160830492717694,0.9788470895783059,0.8090485695276115,0.6624290309401077,1.0092574040726665,0.5845279189656891,0.24633855574952393,0.9870030879974365,0.006547924596816301,34.459426074054875,0.9647033214569092,0.22528637945652008,0.8576595783233643,0.06372767686843872,0.07503255208333333,0.8214644193649292,0.034946986607142856,0.13738928735256195,0.2882654070854187,0.09868115186691284,0.01239245105534792,mug_heart
-0.0006850957870483398,0.00036021124105900526,3.0827302901702893,-0.0004284381866455078,0.06643787398934364,0.011690855026245117,0.006747320294380188,0.010474795386904767,-0.001934051513671875,0.0005231584821428492,0.0020798612385988235,-0.01045083999633789,-0.003360956907272339,-7.757917046546936e-07,0.9982868432998657,0.0013514772290363908,50.63054337729203,0.9977579712867737,0.1288064420223236,0.9846649169921875,0.035303667187690735,0.17628696986607142,0.9669244289398193,0.10555594308035714,0.025759024545550346,0.24281415343284607,0.02093517780303955,0.004005866590887308,0.9993141991679221,1.3633850504585485,1.0648343233898436,0.999570783390177,2.0652461020784036,1.0120155875508368,1.2362809332576352,1.0631726555652936,0.9980037832638193,1.0049809065249875,1.0878350814865252,0.9587355526129588,0.8616670121669244,0.9998063736089786,0.9989719390869141,0.0009912659879773855,47.54781308712174,0.9981864094734192,0.062368568032979965,0.9729740619659424,0.028556346893310547,0.16581217447916666,0.9688584804534912,0.10503278459821429,0.023679163306951523,0.25326499342918396,0.02429613471031189,0.004006642382591963,pillow_same_color_cable_knit
-0.0020254850387573242,0.00040799984708428383,-2.5394921103925867,-0.0014412999153137207,0.03251506853848696,-0.006933987140655518,-0.032533273100852966,-0.007748558407738096,-0.005800902843475342,-0.009463355654761904,0.03643994405865669,-0.0059555768966674805,-0.0016248524188995361,0.001733261626213789,0.9973812103271484,0.0015572955599054694,49.24470278059212,0.9963229298591614,0.023356078192591667,0.9862388372421265,-0.0534963458776474,0.08121163504464286,0.9856076836585999,0.04008556547619048,0.052243225276470184,0.2910817265510559,-0.01809963583946228,0.003633493324741721,0.9979733125181679,1.3549998860456578,0.950960092828735,0.9985554704485252,-2.5500712753845156,0.9930183478943206,2.551932459866592,0.9128985886042864,0.9941488273125187,0.8090098545283905,3.3058467135028584,0.979950070824301,1.0986266330440193,1.9121317298077434,0.9994066953659058,0.0011492957128211856,51.78419489098471,0.9977642297744751,-0.00915899034589529,0.993172824382782,-0.020963072776794434,0.08896019345238096,0.9914085865020752,0.049548921130952384,0.015803281217813492,0.2970373034477234,-0.016474783420562744,0.0019002316985279322,pillow_same_color_cable_knit_armchair
-0.0005419254302978516,0.0006651746807619929,-2.3891634765467487,-0.0025079846382141113,-0.03938916325569153,-0.0031045079231262207,-0.032207176089286804,0.00611514136904763,-0.0035178065299987793,-0.0009591238839285754,0.01584520936012268,-0.0004401206970214844,-0.008617371320724487,0.001242252066731453,0.9984117746353149,0.002471616491675377,47.67204359862946,0.9936214089393616,0.03668227791786194,0.9933508038520813,-0.05868743360042572,0.11630394345238096,0.9845244884490967,0.06458682105654762,0.0452682189643383,0.2545963525772095,0.012805163860321045,0.005342401564121246,0.9994575069592693,1.3682236962981185,0.9522751524357178,0.9974822702207323,0.48220826833256675,0.9968844484178668,2.216271257020022,1.05549694028276,0.9964396194901016,0.9853671514721531,1.5385312234630286,0.9982742833157505,0.5977426925479361,1.3029772615662638,0.9989537000656128,0.001806441810913384,50.061207075176206,0.9961293935775757,0.07607144117355347,0.9964553117752075,-0.026480257511138916,0.11018880208333333,0.9880422949790955,0.06554594494047619,0.029423009604215622,0.25503647327423096,0.021422535181045532,0.004100149497389793,pillow_same_color_cable_knit_grey
