avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,bg_dilate_px,bg_dino_source,bg_l1,bg_lpips,bg_lpips_x100,bg_mask_area,bg_psnr,bg_ssim,bg_ssim_luma,clip_direction_similarity,clip_image_source_similarity,clip_source_score,clip_t,clip_target_minus_source,clip_target_score,complete,dilated_edit_mask_area,dino_source_similarity,edit_score,eval_mask_area,failure_flag,failure_note,fill_texture_ratio,final_mask_area,fixed_eval_mask_area,inside_blue_ratio,inside_l1,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,inside_texture_energy,local_clip_source_score,local_clip_t_full_prompt,local_clip_target_minus_source,local_clip_target_score,local_crop_box,lpips_full,lpips_outside,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_l1,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,ring_texture_energy,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,target_prompt,task
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9996911287307739,0.009403679519891739,0.009243449196219444,0.9243449196219444,0.37699127197265625,36.708570981864234,0.9873581528663635,0.9873581528663635,0.3054913580417633,0.9871217012405396,0.2490445375442505,0.24857699871063232,-0.00046753883361816406,0.24857699871063232,True,0.6230087280273438,0.9288694858551025,-0.00046753883361816406,0.5634307861328125,,,0.8880800378612836,0.0,0.5634307861328125,0.0,0.027720335870981216,0.027720335870981216,26.481426349869327,0.04741641141975579,13.060226440429688,0.2490445375442505,0.24857699871063232,-0.00046753883361816406,0.24857699871063232,"0,0,512,512",0.07629247009754181,0.011308069340884686,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux_kindonly,dece_rf_flux_kindonly,,0.009572132490575314,0.009572132490575314,36.605186430378545,0.014782254615883582,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_000_bear_1_black_bear/dece_rf_flux_kindonly/seed_10/result.png,14.706136703491211,fe_000_bear_1_black_bear/dece_rf_flux_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.019797392189502716,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",28.657695128099316,0.0369075522787561,0.9580536562659062,0.9580536562659062,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9998993873596191,0.005175611469894648,0.0028305836021900177,0.28305836021900177,0.37699127197265625,41.94252804489115,0.9964674115180969,0.9964674115180969,0.3678874373435974,0.9819132685661316,0.26629677414894104,0.27722102403640747,0.01092424988746643,0.27722102403640747,True,0.6230087280273438,0.8422024250030518,0.01092424988746643,0.5634307861328125,,,0.8477483539427035,0.0,0.5634307861328125,0.00899119837508463,0.039670806378126144,0.039670806378126144,22.596435270067083,0.07416145409469883,15.97543716430664,0.26629677414894104,0.27722102403640747,0.01092424988746643,0.27722102403640747,"0,0,512,512",0.11097194254398346,0.0034942561760544777,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3_kindonly,dece_rf_sd3_kindonly,,0.005278764292597771,0.005278764292597771,41.79888414759126,0.008129349449778975,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_000_bear_1_black_bear/dece_rf_sd3_kindonly/seed_10/result.png,18.84455108642578,fe_000_bear_1_black_bear/dece_rf_sd3_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.024656305089592934,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",25.047782143623106,0.05592563099317062,0.8758542251191658,0.8758542251191658,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9997033476829529,0.013524883426725864,0.01073677558451891,1.073677558451891,0.45757293701171875,32.43132513267925,0.9558395147323608,0.9558395147323608,0.09410104155540466,0.8373360633850098,0.24206170439720154,0.23908382654190063,-0.0029778778553009033,0.23908382654190063,True,0.5424270629882812,0.7592645287513733,-0.0029778778553009033,0.4573974609375,,,1.4840442462554222,0.0,0.4573974609375,0.03888944488924473,0.05410357564687729,0.05410357564687729,17.61979651629623,0.13152556442294805,11.153979301452637,0.24206170439720154,0.23908382654190063,-0.0029778778553009033,0.23908382654190063,"0,0,512,512",0.07533500343561172,0.012687357142567635,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_021_brown_owl_3_origami_owl_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux_kindonly,dece_rf_flux_kindonly,,0.01418734434992075,0.01418734434992075,31.967147776665126,0.025214050084350546,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_021_brown_owl_3_origami_owl/dece_rf_flux_kindonly/seed_10/result.png,7.515934467315674,fe_021_brown_owl_3_origami_owl/dece_rf_flux_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/brown_owl.png,0.03244493529200554,"A small, brown owl standing on a patch of grass.",20.83153235441921,0.09087059720863858,0.9054597574381208,0.9054597574381208,A small origami owl standing on a patch of grass.,fe_021_brown_owl_3_origami_owl
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9986230731010437,0.017613111063838005,0.015181103721261024,1.5181103721261024,0.45757293701171875,30.330328163556615,0.9234029054641724,0.9234029054641724,0.1514337658882141,0.8341250419616699,0.21395492553710938,0.23641128838062286,0.02245636284351349,0.23641128838062286,True,0.5424270629882812,0.17596235871315002,0.02245636284351349,0.4573974609375,,,1.431823586543762,0.0,0.4573974609375,0.06409294101948225,0.12346210330724716,0.12346210330724716,13.10905017399924,0.2210789999068649,10.507862091064453,0.21395492553710938,0.23641128838062286,0.02245636284351349,0.23641128838062286,"0,0,512,512",0.2035447508096695,0.019364893436431885,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_021_brown_owl_3_origami_owl_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3_kindonly,dece_rf_sd3_kindonly,,0.01842636615037918,0.01842636615037918,29.903155763421807,0.03197733096015564,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_021_brown_owl_3_origami_owl/dece_rf_sd3_kindonly/seed_10/result.png,7.338796615600586,fe_021_brown_owl_3_origami_owl/dece_rf_sd3_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/brown_owl.png,0.06646943837404251,"A small, brown owl standing on a patch of grass.",16.39964197880513,0.15136236367691658,0.7710792829512114,0.7710792829512114,A small origami owl standing on a patch of grass.,fe_021_brown_owl_3_origami_owl
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9891512989997864,0.020893849432468414,0.030571341514587402,3.0571341514587402,0.6238784790039062,27.40354066417771,0.9574838876724243,0.9574838876724243,0.237615168094635,0.9836088418960571,0.2862365245819092,0.2828032076358795,-0.003433316946029663,0.2828032076358795,True,0.37612152099609375,0.9773927330970764,-0.003433316946029663,0.3057403564453125,,,2.0065493764735134,0.0,0.3057403564453125,0.0008609073214553076,0.04788738861680031,0.04788738861680031,21.702679304986354,0.08219890548431724,9.920960426330566,0.27400317788124084,0.2713356912136078,-0.0026674866676330566,0.2713356912136078,"100,0,512,512",0.06138397753238678,0.03644639253616333,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_027_butterflies_1_yellow_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux_kindonly,dece_rf_flux_kindonly,,0.02302226424217224,0.02302226424217224,26.198599888994604,0.04898577750097945,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_027_butterflies_1_yellow/dece_rf_flux_kindonly/seed_10/result.png,4.944289207458496,fe_027_butterflies_1_yellow/dece_rf_flux_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/butterflies.png,0.030624540522694588,"A vibrant orange flower with two black and white butterflies perched on it. The butterflies are positioned on opposite sides of the flower, with one butterfly on the left side and the other on the right side. The butterflies appear to be resting or possibly feeding on the flower, creating a captivating scene.",24.28089415061457,0.061087913600262236,0.9399889275470041,0.9399889275470041,"A vibrant orange flower with two yellow butterflies perched on it. The butterflies are positioned on opposite sides of the flower, with one butterfly on the left side and the other on the right side. The butterflies appear to be resting or possibly feeding on the flower, creating a captivating scene.",fe_027_butterflies_1_yellow
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9944647550582886,0.014577249996364117,0.021622492000460625,2.1622492000460625,0.6238784790039062,25.693428958944146,0.9448136687278748,0.9448136687278748,0.13429385423660278,0.972606897354126,0.2833050489425659,0.27552172541618347,-0.007783323526382446,0.27552172541618347,True,0.37612152099609375,0.9333915710449219,-0.007783323526382446,0.3057403564453125,,,1.9017277069841674,0.0,0.3057403564453125,0.028472326196536408,0.09173577278852463,0.09173577278852463,14.24075750203771,0.19407166190642075,9.755681991577148,0.2712063193321228,0.2647549510002136,-0.00645136833190918,0.2647549510002136,"100,0,512,512",0.09775105118751526,0.026664508506655693,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_027_butterflies_1_yellow_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3_kindonly,dece_rf_sd3_kindonly,,0.016279635950922966,0.016279635950922966,24.726953794102737,0.058029965223034365,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_027_butterflies_1_yellow/dece_rf_sd3_kindonly/seed_10/result.png,5.129904747009277,fe_027_butterflies_1_yellow/dece_rf_sd3_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/butterflies.png,0.039349619299173355,"A vibrant orange flower with two black and white butterflies perched on it. The butterflies are positioned on opposite sides of the flower, with one butterfly on the left side and the other on the right side. The butterflies appear to be resting or possibly feeding on the flower, creating a captivating scene.",18.58448413648499,0.11769981851064444,0.8765965872958383,0.8765965872958383,"A vibrant orange flower with two yellow butterflies perched on it. The butterflies are positioned on opposite sides of the flower, with one butterfly on the left side and the other on the right side. The butterflies appear to be resting or possibly feeding on the flower, creating a captivating scene.",fe_027_butterflies_1_yellow
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9993551969528198,0.00824145507067442,0.0052029965445399284,0.5202996544539928,0.4603729248046875,39.388712150189576,0.9793902635574341,0.9793902635574341,0.11090901494026184,0.9634228944778442,0.29009220004081726,0.31038832664489746,0.0202961266040802,0.31038832664489746,True,0.5396270751953125,0.8960180282592773,0.0202961266040802,0.45574188232421875,,,1.8813348799926362,0.0,0.45574188232421875,0.00977651293211685,0.030106527730822563,0.030106527730822563,23.245164267522043,0.06882429741209144,9.726516723632812,0.29009220004081726,0.31038832664489746,0.0202961266040802,0.31038832664489746,"0,0,512,512",0.0466240718960762,0.006876402068883181,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_031_cake_1_berries_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux_kindonly,dece_rf_flux_kindonly,,0.00861760787665844,0.00861760787665844,38.86152086225587,0.011400501521613393,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_031_cake_1_berries/dece_rf_flux_kindonly/seed_10/result.png,5.170008182525635,fe_031_cake_1_berries/dece_rf_flux_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/cake.png,0.01841100864112377,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of fruits. The cake is presented on a white plate.",26.517945908528908,0.047217469077468516,0.9389686731157356,0.9389686731157356,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of berries. The cake is presented on a white plate.",fe_031_cake_1_berries
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9993736743927002,0.008724668994545937,0.005349449813365936,0.5349449813365936,0.4603729248046875,38.7331028563381,0.9718201160430908,0.9718201160430908,0.040261976420879364,0.9720480442047119,0.2789314389228821,0.29209598898887634,0.013164550065994263,0.29209598898887634,True,0.5396270751953125,0.9427679181098938,0.013164550065994263,0.45574188232421875,,,1.82991918916713,0.0,0.45574188232421875,0.004603666192349544,0.044423554092645645,0.044423554092645645,20.79324865730046,0.09127200000247747,8.948185920715332,0.2789314389228821,0.29209598898887634,0.013164550065994263,0.29209598898887634,"0,0,512,512",0.06770210713148117,0.007135679479688406,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_031_cake_1_berries_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3_kindonly,dece_rf_sd3_kindonly,,0.009018310345709324,0.009018310345709324,38.216077984833916,0.012279935926004557,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_031_cake_1_berries/dece_rf_sd3_kindonly/seed_10/result.png,4.88993501663208,fe_031_cake_1_berries/dece_rf_sd3_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/cake.png,0.025153955444693565,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of fruits. The cake is presented on a white plate.",24.113175287294762,0.06227894336352351,0.9126873228139022,0.9126873228139022,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of berries. The cake is presented on a white plate.",fe_031_cake_1_berries
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9819241166114807,0.013603984378278255,0.045668140053749084,4.5668140053749084,0.786224365234375,30.121839798632585,0.9649631381034851,0.9649631381034851,0.31602272391319275,0.8681001663208008,0.22853590548038483,0.2579342722892761,0.029398366808891296,0.2579342722892761,True,0.213775634765625,0.9026554226875305,0.029398366808891296,0.15712738037109375,,,1.459635818457298,0.0,0.15712738037109375,0.0009225540179655256,0.08189825713634491,0.08189825713634491,16.857743169108176,0.14358624610969417,10.639456748962402,0.22805623710155487,0.27915292978286743,0.05109669268131256,0.27915292978286743,"0,44,512,405",0.10876987129449844,0.058898717164993286,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_046_cat_crown_1_black_top_hat_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux_kindonly,dece_rf_flux_kindonly,,0.01608693227171898,0.01608693227171898,27.389388201519953,0.04271010016260234,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_046_cat_crown_1_black_top_hat/dece_rf_flux_kindonly/seed_10/result.png,7.289117336273193,fe_046_cat_crown_1_black_top_hat/dece_rf_flux_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/cat_crown.png,0.026427699252963066,"A gray cat sitting on a black cloth, wearing a crown. The crown is placed on the cat''s head.",23.208424466620237,0.06911602875885287,0.916743058500831,0.916743058500831,"A gray cat sitting on a black cloth, wearing a top hat. The top hat is placed on the cat''s head.",fe_046_cat_crown_1_black_top_hat
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9666470289230347,0.02746034413576126,0.06803052127361298,6.803052127361298,0.786224365234375,21.786001275945814,0.9188133478164673,0.9188133478164673,-0.02692423388361931,0.9873666763305664,0.3098161816596985,0.23350216448307037,-0.07631401717662811,0.23350216448307037,True,0.213775634765625,0.9599926471710205,-0.07631401717662811,0.15712738037109375,,,1.2343009698131073,0.0,0.15712738037109375,0.00012138868657441127,0.023634647950530052,0.023634647950530052,28.558467286861582,0.03733160273753159,9.842568397521973,0.31032276153564453,0.2344246208667755,-0.07589814066886902,0.2344246208667755,"0,44,512,405",0.07540885359048843,0.06946834921836853,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_046_cat_crown_1_black_top_hat_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3_kindonly,dece_rf_sd3_kindonly,,0.02678835205733776,0.02678835205733776,22.044815271084172,0.0790240414191423,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_kindonly_probe_metric_runs/fe_046_cat_crown_1_black_top_hat/dece_rf_sd3_kindonly/seed_10/result.png,7.9742045402526855,fe_046_cat_crown_1_black_top_hat/dece_rf_sd3_kindonly/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/cat_crown.png,0.026292817667126656,"A gray cat sitting on a black cloth, wearing a crown. The crown is placed on the cat''s head.",22.610173795446464,0.07404424518339285,0.9144689581882569,0.9144689581882569,"A gray cat sitting on a black cloth, wearing a top hat. The top hat is placed on the cat''s head.",fe_046_cat_crown_1_black_top_hat
