family_label,method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
T1_attached_accessory,fireflow_g070,fireflow_g070,6,6,6,6,0.30512739221254986,0.05158990869919459,0.3011212373773257,0.2818782875935237,0.2914560337861379,0.06799748539924622,0.8510325253009796,0.8187161087989807,0.9030293126900991,0.24188633263111115,0.19693726052840552,0.17933727552493414,0.056112624083956085,0.09041241308053334,0.051390018314123154,0.050138035168250404,0.7909332317848233,0.8133729795614878,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,fireflow_g085,fireflow_g085,6,6,6,6,0.30643269916375476,0.05590732395648956,0.31703242659568787,0.2834152430295944,0.29603123168150586,0.07033604135115941,0.8501346111297607,0.8035119871298472,0.8953337371349335,0.2650864931444327,0.22109092647830644,0.20286647602915764,0.060497742146253586,0.09283386046687762,0.05586922044555346,0.05440733954310417,0.7724178492637419,0.794311503569285,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,fireflow_g100,fireflow_g100,6,6,6,6,0.3051372915506363,0.05497970183690389,0.289331816136837,0.2808543046315511,0.2852632999420166,0.06649963061014812,0.8456229567527771,0.8141908148924509,0.9000414510567983,0.2992697134613991,0.2535874967773755,0.23391032218933105,0.06915145056943099,0.1035662479698658,0.06456959185500939,0.06286029952267806,0.7391543051383239,0.7622248331705729,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,fireflow_g115,fireflow_g115,6,6,6,6,0.3033735305070877,0.05751939366261164,0.3016151065627734,0.282461737593015,0.2908506194750468,0.0700703536470731,0.8309596180915833,0.8098916212717692,0.8942985733350118,0.329778254032135,0.2844709927837054,0.26475515961647034,0.07340272764364879,0.10956102361281712,0.06852972010771434,0.06668552756309509,0.7138596933726041,0.7382097840309143,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,flowedit_flux_g070,flowedit_flux_g070,6,6,6,6,0.30685993532339734,0.05659520626068115,0.35793835918108624,0.28000328441460925,0.29189638296763104,0.06398700674374898,0.879939446846644,0.8511509994665781,0.914586216211319,0.1595166251063347,0.13315541173020998,0.1295015886425972,0.05187002941966057,0.08814622461795807,0.048002670829494797,0.04744044318795204,0.8520753709839674,0.8685288429260254,0.10760879516601562,0.12895568211873373,0.8710443178812662
T1_attached_accessory,flowedit_flux_g085,flowedit_flux_g085,6,6,6,6,0.31000636021296185,0.0634254515171051,0.3654034932454427,0.28015559415022534,0.29001839458942413,0.06713580588499705,0.8704245289166769,0.8329798877239227,0.8890477816263834,0.1895486240585645,0.16037634263436,0.1562731054921945,0.061147453263401985,0.1018925483028094,0.05661975406110287,0.05600784346461296,0.8284739575388724,0.847759852806727,0.10760879516601562,0.12895568211873373,0.8710443178812662
T1_attached_accessory,flowedit_flux_g100,flowedit_flux_g100,6,6,6,6,0.30849647025267285,0.06644141177336375,0.3583314468463262,0.28207112352053326,0.29346078634262085,0.07071047772963841,0.8584460417429606,0.8106570144494375,0.8793313205242157,0.26776239027579624,0.23040983080863953,0.22529942293961844,0.07597374233106773,0.12107518687844276,0.07096155546605587,0.07035145163536072,0.7667404274494105,0.7872122824192047,0.10760879516601562,0.12895568211873373,0.8710443178812662
T1_attached_accessory,flowedit_flux_g115,flowedit_flux_g115,6,6,6,6,0.3103908449411392,0.0553122932712237,0.3289078672726949,0.28006555636723834,0.29364775617917377,0.06754409770170848,0.8704493741194407,0.8088999887307485,0.8741263449192047,0.22725186000267664,0.19452854245901108,0.19034342467784882,0.07383476383984089,0.1192624606192112,0.06885600338379542,0.06829057323435943,0.8012850158497186,0.8213970065116882,0.10760879516601562,0.12895568211873373,0.8710443178812662
T1_attached_accessory,flowedit_sd3_g070,flowedit_sd3_g070,6,6,6,6,0.3038204660018285,0.053284687300523124,0.3551565110683441,0.2797357489665349,0.2895622303088506,0.06326946119467418,0.8901073833306631,0.8906232217947642,0.9219892621040344,0.1434089591105779,0.11456992601354916,0.11037654802203178,0.044788957573473454,0.09233578791220982,0.039245576287309326,0.038760438561439514,0.853803882753649,0.8719445864359537,0.10760879516601562,0.12895568211873373,0.8710443178812662
T1_attached_accessory,flowedit_sd3_g085,flowedit_sd3_g085,6,6,6,6,0.30473775168259937,0.05573632816473643,0.3514665365219116,0.2771812429030736,0.29064133763313293,0.0641532689332962,0.8815495173136393,0.8741293052832285,0.9114115734895071,0.17230746150016785,0.1415416362384955,0.13625183328986168,0.05143000930547714,0.1039706418911616,0.045233430340886116,0.044629620077709355,0.8358328391919235,0.8548493683338165,0.10760879516601562,0.12895568211873373,0.8710443178812662
